2024-01-03 18:53:42,832 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:42,832 - sketch.py - loading sketch from models/mdp/sketches/rover/1000/sketch.templ ...
2024-01-03 18:53:42,832 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:42,834 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:42,834 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:42,835 - prism_parser.py - loading properties from models/mdp/sketches/rover/1000/sketch.props ...
2024-01-03 18:53:42,836 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:42,836 - jani.py - constructing JANI program...
2024-01-03 18:53:42,839 - jani.py - constructing the quotient...
2024-01-03 18:53:43,578 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:44,210 - sketch.py - sketch parsing OK
2024-01-03 18:53:44,210 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-03 18:53:44,210 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:44,443 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:44,864 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.244%, elapsed 238 s, estimated 97306 s (27 hours), iters = {MDP: 9245}
> Progress 0.246%, elapsed 241 s, estimated 97698 s (27 hours), iters = {MDP: 9324}
> Progress 0.248%, elapsed 244 s, estimated 98153 s (27 hours), iters = {MDP: 9397}
> Progress 0.25%, elapsed 247 s, estimated 98618 s (27 hours), iters = {MDP: 9468}
> Progress 0.252%, elapsed 250 s, estimated 99001 s (27 hours), iters = {MDP: 9546}
> Progress 0.254%, elapsed 253 s, estimated 99320 s (27 hours), iters = {MDP: 9631}
> Progress 0.256%, elapsed 256 s, estimated 99682 s (27 hours), iters = {MDP: 9711}
> Progress 0.26%, elapsed 259 s, estimated 99609 s (27 hours), iters = {MDP: 9833}
> Progress 0.262%, elapsed 262 s, estimated 99868 s (27 hours), iters = {MDP: 9922}
> Progress 0.265%, elapsed 265 s, estimated 99716 s (27 hours), iters = {MDP: 10052}
> Progress 0.268%, elapsed 268 s, estimated 99939 s (27 hours), iters = {MDP: 10144}
> Progress 0.27%, elapsed 271 s, estimated 100215 s (27 hours), iters = {MDP: 10230}
> Progress 0.272%, elapsed 274 s, estimated 100495 s (27 hours), iters = {MDP: 10315}
> Progress 0.275%, elapsed 277 s, estimated 100783 s (27 hours), iters = {MDP: 10399}
> Progress 0.277%, elapsed 280 s, estimated 101045 s (28 hours), iters = {MDP: 10485}
> Progress 0.279%, elapsed 283 s, estimated 101319 s (28 hours), iters = {MDP: 10569}
> Progress 0.281%, elapsed 286 s, estimated 101584 s (28 hours), iters = {MDP: 10654}
> Progress 0.284%, elapsed 289 s, estimated 101823 s (28 hours), iters = {MDP: 10741}
