2024-01-03 18:52:16,378 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:16,378 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch-big-q10/sketch.templ ...
2024-01-03 18:52:16,378 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:16,400 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:16,400 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:16,401 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch-big-q10/sketch.props ...
2024-01-03 18:52:16,406 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:16,407 - jani.py - constructing JANI program...
2024-01-03 18:52:16,418 - jani.py - constructing the quotient...
2024-01-03 18:52:16,907 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:17,057 - sketch.py - sketch parsing OK
2024-01-03 18:52:17,058 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-03 18:52:17,058 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:17,140 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:17,262 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 19.482%, elapsed 309 s, estimated 1589 s, iters = {MDP: 25566}
> Progress 19.654%, elapsed 312 s, estimated 1590 s, iters = {MDP: 25791}
> Progress 19.816%, elapsed 315 s, estimated 1592 s, iters = {MDP: 26004}
> Progress 19.982%, elapsed 318 s, estimated 1594 s, iters = {MDP: 26222}
> Progress 20.162%, elapsed 321 s, estimated 1595 s, iters = {MDP: 26458}
> Progress 20.35%, elapsed 324 s, estimated 1595 s, iters = {MDP: 26705}
> Progress 20.513%, elapsed 327 s, estimated 1597 s, iters = {MDP: 26919}
> Progress 20.663%, elapsed 330 s, estimated 1600 s, iters = {MDP: 27116}
> Progress 20.816%, elapsed 333 s, estimated 1603 s, iters = {MDP: 27316}
> Progress 20.97%, elapsed 336 s, estimated 1605 s, iters = {MDP: 27518}
> Progress 21.164%, elapsed 339 s, estimated 1605 s, iters = {MDP: 27773}
> Progress 21.346%, elapsed 342 s, estimated 1605 s, iters = {MDP: 28012}
> Progress 21.531%, elapsed 345 s, estimated 1605 s, iters = {MDP: 28254}
> Progress 21.707%, elapsed 348 s, estimated 1606 s, iters = {MDP: 28485}
> Progress 21.884%, elapsed 351 s, estimated 1607 s, iters = {MDP: 28718}
> Progress 22.06%, elapsed 354 s, estimated 1608 s, iters = {MDP: 28949}
> Progress 22.232%, elapsed 357 s, estimated 1609 s, iters = {MDP: 29174}
> Progress 22.422%, elapsed 360 s, estimated 1609 s, iters = {MDP: 29424}
> Progress 22.613%, elapsed 363 s, estimated 1608 s, iters = {MDP: 29674}
> Progress 22.8%, elapsed 366 s, estimated 1608 s, iters = {MDP: 29920}
> Progress 22.974%, elapsed 369 s, estimated 1609 s, iters = {MDP: 30148}
> Progress 23.144%, elapsed 372 s, estimated 1610 s, iters = {MDP: 30371}
> Progress 23.318%, elapsed 375 s, estimated 1611 s, iters = {MDP: 30599}
> Progress 23.491%, elapsed 378 s, estimated 1612 s, iters = {MDP: 30827}
> Progress 23.68%, elapsed 381 s, estimated 1612 s, iters = {MDP: 31075}
> Progress 23.876%, elapsed 384 s, estimated 1611 s, iters = {MDP: 31332}
> Progress 24.062%, elapsed 387 s, estimated 1611 s, iters = {MDP: 31576}
> Progress 24.234%, elapsed 390 s, estimated 1612 s, iters = {MDP: 31802}
> Progress 24.406%, elapsed 393 s, estimated 1613 s, iters = {MDP: 32027}
> Progress 24.577%, elapsed 396 s, estimated 1614 s, iters = {MDP: 32252}
> Progress 24.753%, elapsed 399 s, estimated 1615 s, iters = {MDP: 32482}
> Progress 24.948%, elapsed 402 s, estimated 1614 s, iters = {MDP: 32738}
> Progress 25.147%, elapsed 405 s, estimated 1613 s, iters = {MDP: 33000}
> Progress 25.327%, elapsed 408 s, estimated 1614 s, iters = {MDP: 33236}
> Progress 25.504%, elapsed 411 s, estimated 1614 s, iters = {MDP: 33468}
> Progress 25.678%, elapsed 414 s, estimated 1615 s, iters = {MDP: 33696}
> Progress 25.852%, elapsed 417 s, estimated 1616 s, iters = {MDP: 33925}
> Progress 26.035%, elapsed 420 s, estimated 1616 s, iters = {MDP: 34165}
> Progress 26.229%, elapsed 423 s, estimated 1616 s, iters = {MDP: 34419}
> Progress 26.422%, elapsed 426 s, estimated 1615 s, iters = {MDP: 34673}
> Progress 26.597%, elapsed 429 s, estimated 1616 s, iters = {MDP: 34902}
> Progress 26.769%, elapsed 432 s, estimated 1617 s, iters = {MDP: 35128}
> Progress 26.941%, elapsed 435 s, estimated 1618 s, iters = {MDP: 35353}
> Progress 27.111%, elapsed 438 s, estimated 1619 s, iters = {MDP: 35577}
> Progress 27.298%, elapsed 441 s, estimated 1618 s, iters = {MDP: 35822}
> Progress 27.492%, elapsed 444 s, estimated 1618 s, iters = {MDP: 36077}
> Progress 27.688%, elapsed 447 s, estimated 1617 s, iters = {MDP: 36334}
> Progress 27.861%, elapsed 450 s, estimated 1618 s, iters = {MDP: 36561}
> Progress 28.036%, elapsed 453 s, estimated 1619 s, iters = {MDP: 36790}
> Progress 28.208%, elapsed 456 s, estimated 1620 s, iters = {MDP: 37016}
> Progress 28.379%, elapsed 459 s, estimated 1620 s, iters = {MDP: 37241}
> Progress 28.569%, elapsed 462 s, estimated 1620 s, iters = {MDP: 37490}
> Progress 28.767%, elapsed 465 s, estimated 1619 s, iters = {MDP: 37750}
> Progress 28.96%, elapsed 469 s, estimated 1619 s, iters = {MDP: 38003}
> Progress 29.136%, elapsed 472 s, estimated 1619 s, iters = {MDP: 38234}
> Progress 29.307%, elapsed 475 s, estimated 1620 s, iters = {MDP: 38458}
> Progress 29.481%, elapsed 478 s, estimated 1621 s, iters = {MDP: 38686}
> Progress 29.651%, elapsed 481 s, estimated 1622 s, iters = {MDP: 38910}
> Progress 29.839%, elapsed 484 s, estimated 1622 s, iters = {MDP: 39156}
> Progress 30.034%, elapsed 487 s, estimated 1621 s, iters = {MDP: 39412}
> Progress 30.215%, elapsed 490 s, estimated 1621 s, iters = {MDP: 39650}
> Progress 30.387%, elapsed 493 s, estimated 1622 s, iters = {MDP: 39876}
> Progress 30.554%, elapsed 496 s, estimated 1623 s, iters = {MDP: 40094}
> Progress 30.721%, elapsed 499 s, estimated 1624 s, iters = {MDP: 40314}
> Progress 30.89%, elapsed 502 s, estimated 1625 s, iters = {MDP: 40536}
> Progress 31.075%, elapsed 505 s, estimated 1625 s, iters = {MDP: 40778}
> Progress 31.271%, elapsed 508 s, estimated 1624 s, iters = {MDP: 41036}
> Progress 31.455%, elapsed 511 s, estimated 1624 s, iters = {MDP: 41277}
> Progress 31.621%, elapsed 514 s, estimated 1625 s, iters = {MDP: 41495}
> Progress 31.792%, elapsed 517 s, estimated 1626 s, iters = {MDP: 41719}
> Progress 31.963%, elapsed 520 s, estimated 1627 s, iters = {MDP: 41943}
> Progress 32.136%, elapsed 523 s, estimated 1627 s, iters = {MDP: 42171}
> Progress 32.328%, elapsed 526 s, estimated 1627 s, iters = {MDP: 42422}
> Progress 32.527%, elapsed 529 s, estimated 1626 s, iters = {MDP: 42683}
> Progress 32.671%, elapsed 532 s, estimated 1628 s, iters = {MDP: 42873}
> Progress 32.845%, elapsed 535 s, estimated 1629 s, iters = {MDP: 43101}
> Progress 33.02%, elapsed 538 s, estimated 1629 s, iters = {MDP: 43330}
> Progress 33.194%, elapsed 541 s, estimated 1630 s, iters = {MDP: 43559}
> Progress 33.363%, elapsed 544 s, estimated 1631 s, iters = {MDP: 43781}
> Progress 33.557%, elapsed 547 s, estimated 1630 s, iters = {MDP: 44035}
> Progress 33.759%, elapsed 550 s, estimated 1629 s, iters = {MDP: 44300}
> Progress 33.956%, elapsed 553 s, estimated 1629 s, iters = {MDP: 44559}
> Progress 34.153%, elapsed 556 s, estimated 1628 s, iters = {MDP: 44817}
> Progress 34.353%, elapsed 559 s, estimated 1627 s, iters = {MDP: 45080}
> Progress 34.541%, elapsed 562 s, estimated 1627 s, iters = {MDP: 45327}
> Progress 34.734%, elapsed 565 s, estimated 1627 s, iters = {MDP: 45579}
> Progress 34.929%, elapsed 568 s, estimated 1626 s, iters = {MDP: 45835}
> Progress 35.114%, elapsed 571 s, estimated 1626 s, iters = {MDP: 46078}
> Progress 35.306%, elapsed 574 s, estimated 1626 s, iters = {MDP: 46330}
> Progress 35.496%, elapsed 577 s, estimated 1626 s, iters = {MDP: 46580}
> Progress 35.694%, elapsed 580 s, estimated 1625 s, iters = {MDP: 46839}
> Progress 35.889%, elapsed 583 s, estimated 1625 s, iters = {MDP: 47095}
> Progress 36.077%, elapsed 586 s, estimated 1625 s, iters = {MDP: 47342}
> Progress 36.271%, elapsed 589 s, estimated 1624 s, iters = {MDP: 47597}
> Progress 36.463%, elapsed 592 s, estimated 1624 s, iters = {MDP: 47849}
> Progress 36.654%, elapsed 595 s, estimated 1624 s, iters = {MDP: 48099}
> Progress 36.853%, elapsed 598 s, estimated 1623 s, iters = {MDP: 48360}
> Progress 37.049%, elapsed 601 s, estimated 1622 s, iters = {MDP: 48617}
> Progress 37.241%, elapsed 604 s, estimated 1622 s, iters = {MDP: 48869}
> Progress 37.437%, elapsed 607 s, estimated 1622 s, iters = {MDP: 49126}
> Progress 37.641%, elapsed 610 s, estimated 1621 s, iters = {MDP: 49394}
> Progress 37.838%, elapsed 613 s, estimated 1620 s, iters = {MDP: 49653}
> Progress 38.037%, elapsed 616 s, estimated 1620 s, iters = {MDP: 49914}
> Progress 38.241%, elapsed 619 s, estimated 1619 s, iters = {MDP: 50181}
> Progress 38.443%, elapsed 622 s, estimated 1618 s, iters = {MDP: 50447}
> Progress 38.643%, elapsed 625 s, estimated 1618 s, iters = {MDP: 50709}
> Progress 38.84%, elapsed 628 s, estimated 1617 s, iters = {MDP: 50968}
> Progress 39.035%, elapsed 631 s, estimated 1617 s, iters = {MDP: 51223}
> Progress 39.23%, elapsed 634 s, estimated 1617 s, iters = {MDP: 51479}
> Progress 39.41%, elapsed 637 s, estimated 1617 s, iters = {MDP: 51716}
> Progress 39.581%, elapsed 640 s, estimated 1617 s, iters = {MDP: 51940}
