2024-01-04 19:53:50,081 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:50,081 - sketch.py - loading sketch from models/mdp/sketches/uav/roz-big/sketch.templ ...
2024-01-04 19:53:50,081 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:50,089 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:50,089 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:50,090 - prism_parser.py - loading properties from models/mdp/sketches/uav/roz-big/sketch.props ...
2024-01-04 19:53:50,091 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:50,091 - jani.py - constructing JANI program...
2024-01-04 19:53:50,102 - jani.py - constructing the quotient...
2024-01-04 19:53:50,821 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:50,986 - sketch.py - sketch parsing OK
2024-01-04 19:53:50,987 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-04 19:53:50,987 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:51,086 - mdp_family.py - associating choices with action labels...
2024-01-04 19:53:51,342 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 50.237%, elapsed 252 s, estimated 502 s, iters = {MDP: 20347}
> Progress 50.501%, elapsed 255 s, estimated 506 s, iters = {MDP: 20454}
> Progress 50.76%, elapsed 258 s, estimated 509 s, iters = {MDP: 20559}
> Progress 51.017%, elapsed 261 s, estimated 513 s, iters = {MDP: 20663}
> Progress 51.298%, elapsed 264 s, estimated 516 s, iters = {MDP: 20777}
> Progress 51.58%, elapsed 267 s, estimated 519 s, iters = {MDP: 20891}
> Progress 51.856%, elapsed 270 s, estimated 522 s, iters = {MDP: 21003}
> Progress 52.143%, elapsed 273 s, estimated 525 s, iters = {MDP: 21119}
> Progress 52.432%, elapsed 276 s, estimated 527 s, iters = {MDP: 21236}
> Progress 52.716%, elapsed 279 s, estimated 530 s, iters = {MDP: 21351}
> Progress 53.0%, elapsed 282 s, estimated 533 s, iters = {MDP: 21466}
> Progress 53.291%, elapsed 285 s, estimated 536 s, iters = {MDP: 21584}
> Progress 53.58%, elapsed 288 s, estimated 539 s, iters = {MDP: 21701}
> Progress 53.869%, elapsed 291 s, estimated 541 s, iters = {MDP: 21818}
> Progress 54.158%, elapsed 294 s, estimated 544 s, iters = {MDP: 21935}
> Progress 54.441%, elapsed 297 s, estimated 547 s, iters = {MDP: 22050}
> Progress 54.725%, elapsed 300 s, estimated 549 s, iters = {MDP: 22165}
> Progress 55.012%, elapsed 303 s, estimated 552 s, iters = {MDP: 22281}
> Progress 55.251%, elapsed 306 s, estimated 555 s, iters = {MDP: 22378}
> Progress 55.483%, elapsed 309 s, estimated 558 s, iters = {MDP: 22472}
> Progress 55.711%, elapsed 312 s, estimated 561 s, iters = {MDP: 22564}
> Progress 55.938%, elapsed 315 s, estimated 564 s, iters = {MDP: 22656}
> Progress 56.182%, elapsed 318 s, estimated 567 s, iters = {MDP: 22755}
> Progress 56.427%, elapsed 321 s, estimated 570 s, iters = {MDP: 22854}
> Progress 56.676%, elapsed 324 s, estimated 573 s, iters = {MDP: 22955}
> Progress 56.923%, elapsed 327 s, estimated 576 s, iters = {MDP: 23055}
> Progress 57.175%, elapsed 330 s, estimated 578 s, iters = {MDP: 23157}
> Progress 57.427%, elapsed 334 s, estimated 581 s, iters = {MDP: 23259}
> Progress 57.679%, elapsed 337 s, estimated 584 s, iters = {MDP: 23361}
> Progress 57.93%, elapsed 340 s, estimated 586 s, iters = {MDP: 23463}
> Progress 58.185%, elapsed 343 s, estimated 589 s, iters = {MDP: 23566}
> Progress 58.437%, elapsed 346 s, estimated 592 s, iters = {MDP: 23668}
> Progress 58.693%, elapsed 349 s, estimated 594 s, iters = {MDP: 23772}
> Progress 58.945%, elapsed 352 s, estimated 597 s, iters = {MDP: 23874}
> Progress 59.2%, elapsed 355 s, estimated 599 s, iters = {MDP: 23977}
> Progress 59.456%, elapsed 358 s, estimated 602 s, iters = {MDP: 24081}
> Progress 59.711%, elapsed 361 s, estimated 604 s, iters = {MDP: 24184}
> Progress 59.965%, elapsed 364 s, estimated 607 s, iters = {MDP: 24287}
> Progress 60.182%, elapsed 367 s, estimated 610 s, iters = {MDP: 24375}
> Progress 60.39%, elapsed 370 s, estimated 613 s, iters = {MDP: 24459}
> Progress 60.6%, elapsed 373 s, estimated 615 s, iters = {MDP: 24544}
> Progress 60.827%, elapsed 376 s, estimated 618 s, iters = {MDP: 24636}
> Progress 61.059%, elapsed 379 s, estimated 621 s, iters = {MDP: 24730}
> Progress 61.306%, elapsed 382 s, estimated 623 s, iters = {MDP: 24830}
> Progress 61.555%, elapsed 385 s, estimated 625 s, iters = {MDP: 24931}
> Progress 61.804%, elapsed 388 s, estimated 628 s, iters = {MDP: 25032}
> Progress 62.046%, elapsed 391 s, estimated 630 s, iters = {MDP: 25130}
