2024-01-04 20:01:16,072 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:01:16,072 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-big/sketch.templ ...
2024-01-04 20:01:16,072 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:01:16,080 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:01:16,080 - prism_parser.py - processing hole definitions...
2024-01-04 20:01:16,080 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-big/sketch.props ...
2024-01-04 20:01:16,081 - prism_parser.py - found the following specification: constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:16,081 - jani.py - constructing JANI program...
2024-01-04 20:01:16,119 - jani.py - constructing the quotient...
2024-01-04 20:01:16,745 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:01:16,947 - sketch.py - sketch parsing OK
2024-01-04 20:01:16,948 - sketch.py - constructed explicit quotient having 17927 states and 170585 actions
2024-01-04 20:01:16,948 - sketch.py - found the following specification constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:17,033 - mdp_family.py - associating choices with action labels...
2024-01-04 20:01:17,278 - synthesizer.py - evaluation initiated, design space: 40000
> Progress 55.872%, elapsed 294 s, estimated 527 s, iters = {MDP: 22350}
> Progress 56.11%, elapsed 297 s, estimated 530 s, iters = {MDP: 22445}
> Progress 56.367%, elapsed 300 s, estimated 533 s, iters = {MDP: 22548}
> Progress 56.612%, elapsed 303 s, estimated 536 s, iters = {MDP: 22646}
> Progress 56.86%, elapsed 306 s, estimated 539 s, iters = {MDP: 22745}
> Progress 57.117%, elapsed 309 s, estimated 542 s, iters = {MDP: 22848}
> Progress 57.372%, elapsed 313 s, estimated 545 s, iters = {MDP: 22950}
> Progress 57.632%, elapsed 316 s, estimated 548 s, iters = {MDP: 23054}
> Progress 57.899%, elapsed 319 s, estimated 550 s, iters = {MDP: 23161}
> Progress 58.165%, elapsed 322 s, estimated 553 s, iters = {MDP: 23267}
> Progress 58.427%, elapsed 325 s, estimated 556 s, iters = {MDP: 23372}
> Progress 58.687%, elapsed 328 s, estimated 558 s, iters = {MDP: 23476}
> Progress 58.95%, elapsed 331 s, estimated 561 s, iters = {MDP: 23581}
> Progress 59.209%, elapsed 334 s, estimated 564 s, iters = {MDP: 23685}
> Progress 59.472%, elapsed 337 s, estimated 566 s, iters = {MDP: 23790}
> Progress 59.732%, elapsed 340 s, estimated 569 s, iters = {MDP: 23894}
> Progress 59.982%, elapsed 343 s, estimated 572 s, iters = {MDP: 23994}
> Progress 60.185%, elapsed 346 s, estimated 575 s, iters = {MDP: 24075}
> Progress 60.392%, elapsed 349 s, estimated 578 s, iters = {MDP: 24158}
> Progress 60.535%, elapsed 352 s, estimated 581 s, iters = {MDP: 24215}
> Progress 60.745%, elapsed 355 s, estimated 584 s, iters = {MDP: 24299}
> Progress 60.96%, elapsed 358 s, estimated 587 s, iters = {MDP: 24385}
> Progress 61.185%, elapsed 361 s, estimated 590 s, iters = {MDP: 24475}
> Progress 61.407%, elapsed 364 s, estimated 593 s, iters = {MDP: 24564}
> Progress 61.629%, elapsed 367 s, estimated 595 s, iters = {MDP: 24653}
> Progress 61.852%, elapsed 370 s, estimated 598 s, iters = {MDP: 24742}
> Progress 62.072%, elapsed 373 s, estimated 601 s, iters = {MDP: 24830}
> Progress 62.3%, elapsed 376 s, estimated 603 s, iters = {MDP: 24921}
> Progress 62.532%, elapsed 379 s, estimated 606 s, iters = {MDP: 25014}
> Progress 62.765%, elapsed 382 s, estimated 609 s, iters = {MDP: 25107}
> Progress 62.995%, elapsed 385 s, estimated 611 s, iters = {MDP: 25199}
> Progress 63.222%, elapsed 388 s, estimated 614 s, iters = {MDP: 25290}
> Progress 63.454%, elapsed 391 s, estimated 616 s, iters = {MDP: 25383}
> Progress 63.685%, elapsed 394 s, estimated 619 s, iters = {MDP: 25475}
> Progress 63.917%, elapsed 397 s, estimated 621 s, iters = {MDP: 25568}
> Progress 64.137%, elapsed 400 s, estimated 624 s, iters = {MDP: 25656}
> Progress 64.357%, elapsed 403 s, estimated 626 s, iters = {MDP: 25744}
> Progress 64.582%, elapsed 406 s, estimated 629 s, iters = {MDP: 25834}
> Progress 64.805%, elapsed 409 s, estimated 631 s, iters = {MDP: 25923}
> Progress 65.027%, elapsed 412 s, estimated 634 s, iters = {MDP: 26012}
> Progress 65.212%, elapsed 415 s, estimated 637 s, iters = {MDP: 26086}
> Progress 65.397%, elapsed 418 s, estimated 639 s, iters = {MDP: 26160}
> Progress 65.585%, elapsed 421 s, estimated 642 s, iters = {MDP: 26235}
> Progress 65.772%, elapsed 424 s, estimated 645 s, iters = {MDP: 26310}
> Progress 65.962%, elapsed 427 s, estimated 648 s, iters = {MDP: 26386}
> Progress 66.157%, elapsed 430 s, estimated 650 s, iters = {MDP: 26464}
> Progress 66.352%, elapsed 433 s, estimated 653 s, iters = {MDP: 26542}
> Progress 66.55%, elapsed 436 s, estimated 656 s, iters = {MDP: 26621}
> Progress 66.75%, elapsed 439 s, estimated 658 s, iters = {MDP: 26701}
> Progress 66.955%, elapsed 442 s, estimated 661 s, iters = {MDP: 26783}
> Progress 67.157%, elapsed 445 s, estimated 663 s, iters = {MDP: 26864}
> Progress 67.355%, elapsed 448 s, estimated 666 s, iters = {MDP: 26943}
> Progress 67.557%, elapsed 451 s, estimated 668 s, iters = {MDP: 27024}
> Progress 67.762%, elapsed 454 s, estimated 671 s, iters = {MDP: 27106}
> Progress 67.97%, elapsed 457 s, estimated 673 s, iters = {MDP: 27189}
> Progress 68.172%, elapsed 460 s, estimated 675 s, iters = {MDP: 27270}
> Progress 68.372%, elapsed 463 s, estimated 678 s, iters = {MDP: 27350}
> Progress 68.577%, elapsed 466 s, estimated 680 s, iters = {MDP: 27432}
> Progress 68.785%, elapsed 469 s, estimated 683 s, iters = {MDP: 27515}
> Progress 68.99%, elapsed 472 s, estimated 685 s, iters = {MDP: 27597}
> Progress 69.197%, elapsed 475 s, estimated 687 s, iters = {MDP: 27680}
> Progress 69.407%, elapsed 478 s, estimated 689 s, iters = {MDP: 27764}
> Progress 69.615%, elapsed 481 s, estimated 692 s, iters = {MDP: 27847}
> Progress 69.825%, elapsed 484 s, estimated 694 s, iters = {MDP: 27931}
> Progress 70.022%, elapsed 487 s, estimated 696 s, iters = {MDP: 28010}
> Progress 70.187%, elapsed 490 s, estimated 699 s, iters = {MDP: 28076}
> Progress 70.355%, elapsed 493 s, estimated 702 s, iters = {MDP: 28143}
> Progress 70.527%, elapsed 497 s, estimated 704 s, iters = {MDP: 28212}
> Progress 70.7%, elapsed 500 s, estimated 707 s, iters = {MDP: 28281}
> Progress 70.875%, elapsed 503 s, estimated 709 s, iters = {MDP: 28351}
> Progress 71.05%, elapsed 506 s, estimated 712 s, iters = {MDP: 28421}
> Progress 71.23%, elapsed 509 s, estimated 714 s, iters = {MDP: 28493}
> Progress 71.412%, elapsed 512 s, estimated 717 s, iters = {MDP: 28566}
> Progress 71.595%, elapsed 515 s, estimated 719 s, iters = {MDP: 28639}
> Progress 71.777%, elapsed 518 s, estimated 722 s, iters = {MDP: 28712}
> Progress 71.957%, elapsed 521 s, estimated 724 s, iters = {MDP: 28784}
> Progress 72.137%, elapsed 524 s, estimated 726 s, iters = {MDP: 28856}
> Progress 72.317%, elapsed 527 s, estimated 729 s, iters = {MDP: 28928}
> Progress 72.5%, elapsed 530 s, estimated 731 s, iters = {MDP: 29001}
> Progress 72.682%, elapsed 533 s, estimated 733 s, iters = {MDP: 29074}
> Progress 72.867%, elapsed 536 s, estimated 736 s, iters = {MDP: 29148}
> Progress 73.055%, elapsed 539 s, estimated 738 s, iters = {MDP: 29223}
> Progress 73.237%, elapsed 542 s, estimated 740 s, iters = {MDP: 29296}
> Progress 73.425%, elapsed 545 s, estimated 742 s, iters = {MDP: 29371}
> Progress 73.607%, elapsed 548 s, estimated 745 s, iters = {MDP: 29444}
> Progress 73.787%, elapsed 551 s, estimated 747 s, iters = {MDP: 29516}
> Progress 73.977%, elapsed 554 s, estimated 749 s, iters = {MDP: 29592}
> Progress 74.16%, elapsed 557 s, estimated 751 s, iters = {MDP: 29665}
> Progress 74.345%, elapsed 560 s, estimated 753 s, iters = {MDP: 29739}
> Progress 74.532%, elapsed 563 s, estimated 756 s, iters = {MDP: 29814}
> Progress 74.72%, elapsed 566 s, estimated 758 s, iters = {MDP: 29889}
> Progress 74.902%, elapsed 569 s, estimated 760 s, iters = {MDP: 29962}
> Progress 75.072%, elapsed 572 s, estimated 762 s, iters = {MDP: 30030}
> Progress 75.225%, elapsed 575 s, estimated 765 s, iters = {MDP: 30091}
> Progress 75.375%, elapsed 578 s, estimated 767 s, iters = {MDP: 30151}
> Progress 75.525%, elapsed 581 s, estimated 770 s, iters = {MDP: 30211}
> Progress 75.675%, elapsed 584 s, estimated 772 s, iters = {MDP: 30271}
> Progress 75.827%, elapsed 587 s, estimated 775 s, iters = {MDP: 30332}
> Progress 75.982%, elapsed 590 s, estimated 777 s, iters = {MDP: 30394}
> Progress 76.137%, elapsed 593 s, estimated 779 s, iters = {MDP: 30456}
> Progress 76.297%, elapsed 596 s, estimated 782 s, iters = {MDP: 30520}
> Progress 76.457%, elapsed 599 s, estimated 784 s, iters = {MDP: 30584}
> Progress 76.622%, elapsed 602 s, estimated 786 s, iters = {MDP: 30650}
> Progress 76.787%, elapsed 605 s, estimated 789 s, iters = {MDP: 30716}
> Progress 76.947%, elapsed 608 s, estimated 791 s, iters = {MDP: 30780}
> Progress 77.107%, elapsed 611 s, estimated 793 s, iters = {MDP: 30844}
> Progress 77.27%, elapsed 614 s, estimated 795 s, iters = {MDP: 30909}
> Progress 77.437%, elapsed 618 s, estimated 798 s, iters = {MDP: 30976}
