2024-01-04 20:51:38,048 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:38,048 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-workload/sketch.templ ...
2024-01-04 20:51:38,048 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:38,056 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:38,056 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:38,057 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-workload/sketch.props ...
2024-01-04 20:51:38,058 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,058 - jani.py - constructing JANI program...
2024-01-04 20:51:38,088 - jani.py - constructing the quotient...
2024-01-04 20:51:38,650 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:38,797 - sketch.py - sketch parsing OK
2024-01-04 20:51:38,797 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-04 20:51:38,797 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,869 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:39,026 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 4.455%, elapsed 277 s, estimated 6219 s, iters = {MDP: 72172}
> Progress 4.504%, elapsed 280 s, estimated 6218 s, iters = {MDP: 72973}
> Progress 4.554%, elapsed 283 s, estimated 6216 s, iters = {MDP: 73781}
> Progress 4.6%, elapsed 286 s, estimated 6219 s, iters = {MDP: 74525}
> Progress 4.647%, elapsed 289 s, estimated 6221 s, iters = {MDP: 75284}
> Progress 4.697%, elapsed 292 s, estimated 6218 s, iters = {MDP: 76098}
> Progress 4.747%, elapsed 295 s, estimated 6216 s, iters = {MDP: 76909}
> Progress 4.797%, elapsed 298 s, estimated 6213 s, iters = {MDP: 77726}
> Progress 4.848%, elapsed 301 s, estimated 6210 s, iters = {MDP: 78542}
> Progress 4.899%, elapsed 304 s, estimated 6207 s, iters = {MDP: 79369}
> Progress 4.937%, elapsed 308 s, estimated 6238 s, iters = {MDP: 79993}
> Progress 4.988%, elapsed 311 s, estimated 6235 s, iters = {MDP: 80817}
> Progress 5.038%, elapsed 314 s, estimated 6232 s, iters = {MDP: 81626}
> Progress 5.084%, elapsed 317 s, estimated 6235 s, iters = {MDP: 82373}
> Progress 5.132%, elapsed 320 s, estimated 6235 s, iters = {MDP: 83150}
> Progress 5.183%, elapsed 323 s, estimated 6232 s, iters = {MDP: 83969}
> Progress 5.234%, elapsed 326 s, estimated 6229 s, iters = {MDP: 84793}
> Progress 5.283%, elapsed 329 s, estimated 6227 s, iters = {MDP: 85599}
> Progress 5.334%, elapsed 332 s, estimated 6224 s, iters = {MDP: 86418}
> Progress 5.385%, elapsed 335 s, estimated 6222 s, iters = {MDP: 87239}
> Progress 5.435%, elapsed 338 s, estimated 6219 s, iters = {MDP: 88061}
> Progress 5.486%, elapsed 341 s, estimated 6216 s, iters = {MDP: 88880}
> Progress 5.535%, elapsed 344 s, estimated 6215 s, iters = {MDP: 89682}
> Progress 5.582%, elapsed 347 s, estimated 6216 s, iters = {MDP: 90440}
> Progress 5.631%, elapsed 350 s, estimated 6216 s, iters = {MDP: 91231}
> Progress 5.681%, elapsed 353 s, estimated 6213 s, iters = {MDP: 92049}
> Progress 5.732%, elapsed 356 s, estimated 6211 s, iters = {MDP: 92870}
> Progress 5.783%, elapsed 359 s, estimated 6208 s, iters = {MDP: 93690}
> Progress 5.834%, elapsed 362 s, estimated 6206 s, iters = {MDP: 94514}
> Progress 5.883%, elapsed 365 s, estimated 6204 s, iters = {MDP: 95316}
> Progress 5.933%, elapsed 368 s, estimated 6203 s, iters = {MDP: 96130}
> Progress 5.984%, elapsed 371 s, estimated 6201 s, iters = {MDP: 96945}
> Progress 6.034%, elapsed 374 s, estimated 6199 s, iters = {MDP: 97753}
> Progress 6.08%, elapsed 377 s, estimated 6201 s, iters = {MDP: 98509}
> Progress 6.129%, elapsed 380 s, estimated 6200 s, iters = {MDP: 99304}
> Progress 6.179%, elapsed 383 s, estimated 6198 s, iters = {MDP: 100116}
> Progress 6.23%, elapsed 386 s, estimated 6197 s, iters = {MDP: 100927}
> Progress 6.28%, elapsed 389 s, estimated 6195 s, iters = {MDP: 101739}
> Progress 6.33%, elapsed 392 s, estimated 6193 s, iters = {MDP: 102554}
> Progress 6.38%, elapsed 395 s, estimated 6191 s, iters = {MDP: 103373}
> Progress 6.43%, elapsed 398 s, estimated 6190 s, iters = {MDP: 104182}
> Progress 6.482%, elapsed 401 s, estimated 6187 s, iters = {MDP: 105011}
> Progress 6.531%, elapsed 404 s, estimated 6186 s, iters = {MDP: 105815}
> Progress 6.578%, elapsed 407 s, estimated 6188 s, iters = {MDP: 106574}
> Progress 6.626%, elapsed 410 s, estimated 6188 s, iters = {MDP: 107353}
> Progress 6.677%, elapsed 413 s, estimated 6186 s, iters = {MDP: 108183}
> Progress 6.727%, elapsed 416 s, estimated 6184 s, iters = {MDP: 108990}
> Progress 6.777%, elapsed 419 s, estimated 6183 s, iters = {MDP: 109802}
> Progress 6.828%, elapsed 422 s, estimated 6181 s, iters = {MDP: 110620}
> Progress 6.879%, elapsed 425 s, estimated 6179 s, iters = {MDP: 111444}
> Progress 6.929%, elapsed 428 s, estimated 6178 s, iters = {MDP: 112257}
> Progress 6.98%, elapsed 431 s, estimated 6176 s, iters = {MDP: 113081}
> Progress 7.028%, elapsed 434 s, estimated 6176 s, iters = {MDP: 113869}
> Progress 7.076%, elapsed 437 s, estimated 6177 s, iters = {MDP: 114633}
> Progress 7.123%, elapsed 442 s, estimated 6209 s, iters = {MDP: 115394}
> Progress 7.173%, elapsed 445 s, estimated 6207 s, iters = {MDP: 116216}
> Progress 7.224%, elapsed 448 s, estimated 6206 s, iters = {MDP: 117030}
> Progress 7.274%, elapsed 451 s, estimated 6204 s, iters = {MDP: 117843}
> Progress 7.324%, elapsed 454 s, estimated 6202 s, iters = {MDP: 118664}
> Progress 7.374%, elapsed 457 s, estimated 6201 s, iters = {MDP: 119469}
> Progress 7.423%, elapsed 460 s, estimated 6201 s, iters = {MDP: 120258}
> Progress 7.469%, elapsed 463 s, estimated 6202 s, iters = {MDP: 121014}
> Progress 7.517%, elapsed 466 s, estimated 6203 s, iters = {MDP: 121789}
> Progress 7.565%, elapsed 469 s, estimated 6203 s, iters = {MDP: 122564}
> Progress 7.616%, elapsed 472 s, estimated 6201 s, iters = {MDP: 123388}
> Progress 7.667%, elapsed 475 s, estimated 6200 s, iters = {MDP: 124207}
> Progress 7.717%, elapsed 478 s, estimated 6198 s, iters = {MDP: 125029}
> Progress 7.769%, elapsed 481 s, estimated 6195 s, iters = {MDP: 125863}
> Progress 7.819%, elapsed 484 s, estimated 6193 s, iters = {MDP: 126684}
> Progress 7.869%, elapsed 487 s, estimated 6193 s, iters = {MDP: 127483}
> Progress 7.919%, elapsed 490 s, estimated 6191 s, iters = {MDP: 128297}
> Progress 7.969%, elapsed 493 s, estimated 6190 s, iters = {MDP: 129113}
> Progress 8.017%, elapsed 496 s, estimated 6190 s, iters = {MDP: 129887}
> Progress 8.064%, elapsed 499 s, estimated 6192 s, iters = {MDP: 130648}
> Progress 8.114%, elapsed 502 s, estimated 6190 s, iters = {MDP: 131462}
> Progress 8.164%, elapsed 505 s, estimated 6189 s, iters = {MDP: 132272}
> Progress 8.214%, elapsed 508 s, estimated 6188 s, iters = {MDP: 133077}
> Progress 8.264%, elapsed 511 s, estimated 6187 s, iters = {MDP: 133892}
> Progress 8.315%, elapsed 514 s, estimated 6185 s, iters = {MDP: 134710}
> Progress 8.365%, elapsed 517 s, estimated 6184 s, iters = {MDP: 135526}
> Progress 8.415%, elapsed 520 s, estimated 6183 s, iters = {MDP: 136333}
> Progress 8.465%, elapsed 523 s, estimated 6182 s, iters = {MDP: 137150}
> Progress 8.513%, elapsed 526 s, estimated 6183 s, iters = {MDP: 137915}
> Progress 8.561%, elapsed 529 s, estimated 6183 s, iters = {MDP: 138691}
> Progress 8.611%, elapsed 532 s, estimated 6182 s, iters = {MDP: 139501}
> Progress 8.66%, elapsed 535 s, estimated 6182 s, iters = {MDP: 140297}
> Progress 8.709%, elapsed 538 s, estimated 6181 s, iters = {MDP: 141095}
> Progress 8.76%, elapsed 541 s, estimated 6180 s, iters = {MDP: 141917}
> Progress 8.811%, elapsed 544 s, estimated 6178 s, iters = {MDP: 142742}
> Progress 8.859%, elapsed 547 s, estimated 6178 s, iters = {MDP: 143528}
> Progress 8.91%, elapsed 550 s, estimated 6177 s, iters = {MDP: 144351}
> Progress 8.961%, elapsed 553 s, estimated 6175 s, iters = {MDP: 145170}
> Progress 9.008%, elapsed 556 s, estimated 6176 s, iters = {MDP: 145932}
> Progress 9.055%, elapsed 559 s, estimated 6177 s, iters = {MDP: 146707}
> Progress 9.106%, elapsed 562 s, estimated 6175 s, iters = {MDP: 147526}
> Progress 9.157%, elapsed 565 s, estimated 6174 s, iters = {MDP: 148360}
> Progress 9.208%, elapsed 568 s, estimated 6172 s, iters = {MDP: 149177}
> Progress 9.259%, elapsed 571 s, estimated 6171 s, iters = {MDP: 149997}
> Progress 9.309%, elapsed 574 s, estimated 6170 s, iters = {MDP: 150810}
> Progress 9.36%, elapsed 577 s, estimated 6169 s, iters = {MDP: 151635}
> Progress 9.41%, elapsed 580 s, estimated 6167 s, iters = {MDP: 152457}
> Progress 9.462%, elapsed 583 s, estimated 6165 s, iters = {MDP: 153293}
> Progress 9.509%, elapsed 586 s, estimated 6167 s, iters = {MDP: 154048}
> Progress 9.557%, elapsed 589 s, estimated 6167 s, iters = {MDP: 154836}
> Progress 9.609%, elapsed 592 s, estimated 6165 s, iters = {MDP: 155672}
> Progress 9.659%, elapsed 595 s, estimated 6164 s, iters = {MDP: 156483}
> Progress 9.709%, elapsed 598 s, estimated 6163 s, iters = {MDP: 157296}
> Progress 9.76%, elapsed 601 s, estimated 6161 s, iters = {MDP: 158123}
> Progress 9.811%, elapsed 604 s, estimated 6160 s, iters = {MDP: 158952}
> Progress 9.861%, elapsed 607 s, estimated 6159 s, iters = {MDP: 159764}
> Progress 9.912%, elapsed 610 s, estimated 6158 s, iters = {MDP: 160590}
> Progress 9.93%, elapsed 614 s, estimated 6189 s, iters = {MDP: 160875}
> Progress 9.978%, elapsed 617 s, estimated 6189 s, iters = {MDP: 161655}
> Progress 10.02%, elapsed 620 s, estimated 6194 s, iters = {MDP: 162330}
> Progress 10.059%, elapsed 623 s, estimated 6199 s, iters = {MDP: 162971}
> Progress 10.099%, elapsed 626 s, estimated 6205 s, iters = {MDP: 163610}
> Progress 10.138%, elapsed 629 s, estimated 6210 s, iters = {MDP: 164242}
> Progress 10.176%, elapsed 632 s, estimated 6216 s, iters = {MDP: 164862}
> Progress 10.214%, elapsed 635 s, estimated 6223 s, iters = {MDP: 165481}
> Progress 10.252%, elapsed 638 s, estimated 6229 s, iters = {MDP: 166091}
> Progress 10.291%, elapsed 641 s, estimated 6235 s, iters = {MDP: 166719}
> Progress 10.328%, elapsed 644 s, estimated 6241 s, iters = {MDP: 167323}
> Progress 10.364%, elapsed 647 s, estimated 6249 s, iters = {MDP: 167904}
> Progress 10.401%, elapsed 650 s, estimated 6255 s, iters = {MDP: 168509}
> Progress 10.44%, elapsed 653 s, estimated 6261 s, iters = {MDP: 169134}
> Progress 10.478%, elapsed 656 s, estimated 6266 s, iters = {MDP: 169759}
> Progress 10.517%, elapsed 659 s, estimated 6272 s, iters = {MDP: 170387}
> Progress 10.556%, elapsed 662 s, estimated 6277 s, iters = {MDP: 171015}
> Progress 10.593%, elapsed 665 s, estimated 6283 s, iters = {MDP: 171622}
> Progress 10.632%, elapsed 668 s, estimated 6289 s, iters = {MDP: 172243}
> Progress 10.67%, elapsed 671 s, estimated 6294 s, iters = {MDP: 172867}
> Progress 10.707%, elapsed 674 s, estimated 6301 s, iters = {MDP: 173462}
> Progress 10.742%, elapsed 677 s, estimated 6308 s, iters = {MDP: 174036}
> Progress 10.779%, elapsed 680 s, estimated 6314 s, iters = {MDP: 174633}
> Progress 10.818%, elapsed 683 s, estimated 6319 s, iters = {MDP: 175263}
> Progress 10.857%, elapsed 686 s, estimated 6324 s, iters = {MDP: 175887}
> Progress 10.894%, elapsed 689 s, estimated 6330 s, iters = {MDP: 176497}
> Progress 10.933%, elapsed 692 s, estimated 6335 s, iters = {MDP: 177125}
> Progress 10.971%, elapsed 695 s, estimated 6340 s, iters = {MDP: 177744}
> Progress 11.009%, elapsed 698 s, estimated 6346 s, iters = {MDP: 178358}
> Progress 11.047%, elapsed 701 s, estimated 6351 s, iters = {MDP: 178977}
> Progress 11.086%, elapsed 704 s, estimated 6356 s, iters = {MDP: 179600}
> Progress 11.121%, elapsed 707 s, estimated 6363 s, iters = {MDP: 180176}
> Progress 11.159%, elapsed 710 s, estimated 6368 s, iters = {MDP: 180779}
> Progress 11.197%, elapsed 713 s, estimated 6373 s, iters = {MDP: 181405}
> Progress 11.237%, elapsed 716 s, estimated 6378 s, iters = {MDP: 182046}
> Progress 11.277%, elapsed 719 s, estimated 6382 s, iters = {MDP: 182689}
> Progress 11.316%, elapsed 722 s, estimated 6386 s, iters = {MDP: 183321}
> Progress 11.355%, elapsed 725 s, estimated 6390 s, iters = {MDP: 183964}
> Progress 11.394%, elapsed 728 s, estimated 6395 s, iters = {MDP: 184594}
> Progress 11.434%, elapsed 731 s, estimated 6399 s, iters = {MDP: 185237}
> Progress 11.472%, elapsed 734 s, estimated 6404 s, iters = {MDP: 185860}
> Progress 11.508%, elapsed 737 s, estimated 6410 s, iters = {MDP: 186442}
> Progress 11.546%, elapsed 740 s, estimated 6415 s, iters = {MDP: 187062}
> Progress 11.586%, elapsed 743 s, estimated 6418 s, iters = {MDP: 187710}
> Progress 11.627%, elapsed 746 s, estimated 6422 s, iters = {MDP: 188359}
> Progress 11.664%, elapsed 749 s, estimated 6427 s, iters = {MDP: 188971}
> Progress 11.701%, elapsed 752 s, estimated 6433 s, iters = {MDP: 189563}
> Progress 11.74%, elapsed 755 s, estimated 6437 s, iters = {MDP: 190193}
> Progress 11.78%, elapsed 758 s, estimated 6441 s, iters = {MDP: 190837}
