2024-01-04 20:51:33,051 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:33,051 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-big/sketch.templ ...
2024-01-04 20:51:33,051 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:33,061 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:33,062 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:33,062 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-big/sketch.props ...
2024-01-04 20:51:33,064 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:33,064 - jani.py - constructing JANI program...
2024-01-04 20:51:33,106 - jani.py - constructing the quotient...
2024-01-04 20:51:34,315 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:34,630 - sketch.py - sketch parsing OK
2024-01-04 20:51:34,631 - sketch.py - constructed explicit quotient having 17927 states and 295977 actions
2024-01-04 20:51:34,631 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:34,771 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:35,110 - synthesizer.py - evaluation initiated, design space: 360000
> Progress 18.495%, elapsed 475 s, estimated 2569 s, iters = {MDP: 66583}
> Progress 18.512%, elapsed 478 s, estimated 2583 s, iters = {MDP: 66647}
> Progress 18.597%, elapsed 481 s, estimated 2588 s, iters = {MDP: 66953}
> Progress 18.684%, elapsed 484 s, estimated 2592 s, iters = {MDP: 67265}
> Progress 18.77%, elapsed 487 s, estimated 2596 s, iters = {MDP: 67576}
> Progress 18.855%, elapsed 490 s, estimated 2600 s, iters = {MDP: 67881}
> Progress 18.941%, elapsed 493 s, estimated 2604 s, iters = {MDP: 68189}
> Progress 19.025%, elapsed 496 s, estimated 2608 s, iters = {MDP: 68494}
> Progress 19.108%, elapsed 499 s, estimated 2613 s, iters = {MDP: 68791}
> Progress 19.187%, elapsed 502 s, estimated 2618 s, iters = {MDP: 69077}
> Progress 19.272%, elapsed 505 s, estimated 2622 s, iters = {MDP: 69382}
> Progress 19.36%, elapsed 508 s, estimated 2625 s, iters = {MDP: 69697}
> Progress 19.443%, elapsed 511 s, estimated 2629 s, iters = {MDP: 69999}
> Progress 19.531%, elapsed 514 s, estimated 2633 s, iters = {MDP: 70314}
> Progress 19.617%, elapsed 517 s, estimated 2637 s, iters = {MDP: 70625}
> Progress 19.704%, elapsed 520 s, estimated 2640 s, iters = {MDP: 70938}
> Progress 19.79%, elapsed 523 s, estimated 2644 s, iters = {MDP: 71248}
> Progress 19.878%, elapsed 526 s, estimated 2648 s, iters = {MDP: 71562}
> Progress 19.961%, elapsed 529 s, estimated 2652 s, iters = {MDP: 71864}
> Progress 20.032%, elapsed 532 s, estimated 2657 s, iters = {MDP: 72119}
> Progress 20.098%, elapsed 535 s, estimated 2663 s, iters = {MDP: 72356}
> Progress 20.162%, elapsed 538 s, estimated 2670 s, iters = {MDP: 72587}
> Progress 20.228%, elapsed 541 s, estimated 2676 s, iters = {MDP: 72823}
> Progress 20.294%, elapsed 544 s, estimated 2682 s, iters = {MDP: 73062}
> Progress 20.362%, elapsed 547 s, estimated 2688 s, iters = {MDP: 73305}
> Progress 20.426%, elapsed 550 s, estimated 2694 s, iters = {MDP: 73538}
> Progress 20.494%, elapsed 553 s, estimated 2700 s, iters = {MDP: 73780}
> Progress 20.562%, elapsed 556 s, estimated 2706 s, iters = {MDP: 74025}
> Progress 20.627%, elapsed 559 s, estimated 2712 s, iters = {MDP: 74261}
> Progress 20.691%, elapsed 562 s, estimated 2718 s, iters = {MDP: 74490}
> Progress 20.758%, elapsed 565 s, estimated 2723 s, iters = {MDP: 74732}
> Progress 20.826%, elapsed 568 s, estimated 2729 s, iters = {MDP: 74978}
> Progress 20.893%, elapsed 571 s, estimated 2735 s, iters = {MDP: 75219}
> Progress 20.961%, elapsed 574 s, estimated 2740 s, iters = {MDP: 75464}
> Progress 21.03%, elapsed 577 s, estimated 2745 s, iters = {MDP: 75712}
> Progress 21.102%, elapsed 580 s, estimated 2750 s, iters = {MDP: 75969}
> Progress 21.173%, elapsed 583 s, estimated 2755 s, iters = {MDP: 76224}
> Progress 21.244%, elapsed 586 s, estimated 2760 s, iters = {MDP: 76480}
> Progress 21.311%, elapsed 589 s, estimated 2766 s, iters = {MDP: 76723}
> Progress 21.377%, elapsed 592 s, estimated 2771 s, iters = {MDP: 76959}
> Progress 21.448%, elapsed 595 s, estimated 2776 s, iters = {MDP: 77215}
> Progress 21.519%, elapsed 598 s, estimated 2781 s, iters = {MDP: 77470}
> Progress 21.59%, elapsed 601 s, estimated 2786 s, iters = {MDP: 77725}
> Progress 21.66%, elapsed 604 s, estimated 2791 s, iters = {MDP: 77977}
> Progress 21.731%, elapsed 607 s, estimated 2795 s, iters = {MDP: 78233}
> Progress 21.8%, elapsed 610 s, estimated 2800 s, iters = {MDP: 78482}
> Progress 21.87%, elapsed 613 s, estimated 2805 s, iters = {MDP: 78734}
> Progress 21.941%, elapsed 616 s, estimated 2810 s, iters = {MDP: 78991}
> Progress 22.012%, elapsed 619 s, estimated 2814 s, iters = {MDP: 79246}
> Progress 22.078%, elapsed 622 s, estimated 2819 s, iters = {MDP: 79482}
> Progress 22.146%, elapsed 625 s, estimated 2824 s, iters = {MDP: 79730}
> Progress 22.217%, elapsed 628 s, estimated 2829 s, iters = {MDP: 79985}
> Progress 22.286%, elapsed 631 s, estimated 2833 s, iters = {MDP: 80232}
> Progress 22.355%, elapsed 634 s, estimated 2838 s, iters = {MDP: 80480}
> Progress 22.425%, elapsed 637 s, estimated 2843 s, iters = {MDP: 80734}
> Progress 22.496%, elapsed 640 s, estimated 2847 s, iters = {MDP: 80987}
> Progress 22.565%, elapsed 643 s, estimated 2852 s, iters = {MDP: 81236}
> Progress 22.636%, elapsed 646 s, estimated 2856 s, iters = {MDP: 81491}
> Progress 22.703%, elapsed 649 s, estimated 2861 s, iters = {MDP: 81735}
> Progress 22.769%, elapsed 652 s, estimated 2866 s, iters = {MDP: 81971}
> Progress 22.839%, elapsed 655 s, estimated 2870 s, iters = {MDP: 82223}
> Progress 22.91%, elapsed 658 s, estimated 2874 s, iters = {MDP: 82479}
> Progress 22.981%, elapsed 661 s, estimated 2879 s, iters = {MDP: 82735}
> Progress 23.051%, elapsed 664 s, estimated 2883 s, iters = {MDP: 82986}
> Progress 23.121%, elapsed 667 s, estimated 2887 s, iters = {MDP: 83240}
> Progress 23.19%, elapsed 670 s, estimated 2892 s, iters = {MDP: 83488}
> Progress 23.261%, elapsed 673 s, estimated 2896 s, iters = {MDP: 83744}
> Progress 23.331%, elapsed 676 s, estimated 2900 s, iters = {MDP: 83995}
> Progress 23.398%, elapsed 679 s, estimated 2904 s, iters = {MDP: 84236}
> Progress 23.464%, elapsed 682 s, estimated 2909 s, iters = {MDP: 84472}
> Progress 23.534%, elapsed 685 s, estimated 2913 s, iters = {MDP: 84726}
> Progress 23.605%, elapsed 688 s, estimated 2917 s, iters = {MDP: 84980}
> Progress 23.674%, elapsed 691 s, estimated 2921 s, iters = {MDP: 85229}
> Progress 23.744%, elapsed 694 s, estimated 2925 s, iters = {MDP: 85481}
> Progress 23.815%, elapsed 697 s, estimated 2929 s, iters = {MDP: 85736}
> Progress 23.885%, elapsed 700 s, estimated 2933 s, iters = {MDP: 85989}
> Progress 23.955%, elapsed 703 s, estimated 2937 s, iters = {MDP: 86240}
> Progress 24.025%, elapsed 706 s, estimated 2941 s, iters = {MDP: 86492}
> Progress 24.092%, elapsed 709 s, estimated 2946 s, iters = {MDP: 86734}
> Progress 24.156%, elapsed 712 s, estimated 2950 s, iters = {MDP: 86964}
> Progress 24.225%, elapsed 715 s, estimated 2954 s, iters = {MDP: 87211}
> Progress 24.295%, elapsed 718 s, estimated 2958 s, iters = {MDP: 87464}
> Progress 24.365%, elapsed 721 s, estimated 2962 s, iters = {MDP: 87717}
> Progress 24.435%, elapsed 724 s, estimated 2966 s, iters = {MDP: 87969}
> Progress 24.506%, elapsed 727 s, estimated 2969 s, iters = {MDP: 88223}
> Progress 24.575%, elapsed 730 s, estimated 2973 s, iters = {MDP: 88474}
> Progress 24.643%, elapsed 733 s, estimated 2977 s, iters = {MDP: 88718}
> Progress 24.713%, elapsed 736 s, estimated 2981 s, iters = {MDP: 88971}
> Progress 24.781%, elapsed 739 s, estimated 2985 s, iters = {MDP: 89213}
> Progress 24.846%, elapsed 742 s, estimated 2989 s, iters = {MDP: 89448}
> Progress 24.916%, elapsed 745 s, estimated 2993 s, iters = {MDP: 89702}
> Progress 24.987%, elapsed 748 s, estimated 2996 s, iters = {MDP: 89955}
