2024-01-08 21:51:21,472 - cli.py - This is Paynt version 0.1.0.
2024-01-08 21:51:21,472 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.templ ...
2024-01-08 21:51:21,472 - sketch.py - assuming sketch in PRISM format...
2024-01-08 21:51:21,480 - prism_parser.py - PRISM model type: MDP
2024-01-08 21:51:21,480 - prism_parser.py - processing hole definitions...
2024-01-08 21:51:21,481 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.props ...
2024-01-08 21:51:21,481 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:21,481 - jani.py - constructing JANI program...
2024-01-08 21:51:21,514 - jani.py - constructing the quotient...
2024-01-08 21:51:22,060 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 21:51:22,215 - sketch.py - sketch parsing OK
2024-01-08 21:51:22,215 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-08 21:51:22,216 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:22,303 - mdp_family.py - associating choices with action labels...
2024-01-08 21:51:22,472 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 3.665%, elapsed 234 s, estimated 6387 s, iters = {MDP: 59384}
> Progress 3.715%, elapsed 237 s, estimated 6383 s, iters = {MDP: 60191}
> Progress 3.764%, elapsed 240 s, estimated 6379 s, iters = {MDP: 60988}
> Progress 3.813%, elapsed 243 s, estimated 6375 s, iters = {MDP: 61784}
> Progress 3.863%, elapsed 246 s, estimated 6370 s, iters = {MDP: 62595}
> Progress 3.913%, elapsed 249 s, estimated 6366 s, iters = {MDP: 63398}
> Progress 3.964%, elapsed 252 s, estimated 6361 s, iters = {MDP: 64218}
> Progress 4.014%, elapsed 255 s, estimated 6356 s, iters = {MDP: 65033}
> Progress 4.064%, elapsed 258 s, estimated 6351 s, iters = {MDP: 65853}
> Progress 4.116%, elapsed 261 s, estimated 6344 s, iters = {MDP: 66685}
> Progress 4.168%, elapsed 264 s, estimated 6337 s, iters = {MDP: 67529}
> Progress 4.217%, elapsed 267 s, estimated 6334 s, iters = {MDP: 68327}
> Progress 4.266%, elapsed 270 s, estimated 6331 s, iters = {MDP: 69126}
> Progress 4.315%, elapsed 273 s, estimated 6330 s, iters = {MDP: 69912}
> Progress 4.365%, elapsed 276 s, estimated 6327 s, iters = {MDP: 70716}
> Progress 4.414%, elapsed 279 s, estimated 6324 s, iters = {MDP: 71511}
> Progress 4.464%, elapsed 282 s, estimated 6320 s, iters = {MDP: 72330}
> Progress 4.514%, elapsed 285 s, estimated 6317 s, iters = {MDP: 73132}
> Progress 4.564%, elapsed 288 s, estimated 6313 s, iters = {MDP: 73952}
> Progress 4.615%, elapsed 291 s, estimated 6309 s, iters = {MDP: 74767}
> Progress 4.664%, elapsed 294 s, estimated 6306 s, iters = {MDP: 75573}
> Progress 4.714%, elapsed 297 s, estimated 6304 s, iters = {MDP: 76369}
> Progress 4.762%, elapsed 300 s, estimated 6303 s, iters = {MDP: 77154}
> Progress 4.811%, elapsed 303 s, estimated 6302 s, iters = {MDP: 77940}
> Progress 4.858%, elapsed 306 s, estimated 6302 s, iters = {MDP: 78709}
> Progress 4.908%, elapsed 309 s, estimated 6299 s, iters = {MDP: 79520}
> Progress 4.937%, elapsed 312 s, estimated 6330 s, iters = {MDP: 79992}
> Progress 4.986%, elapsed 315 s, estimated 6328 s, iters = {MDP: 80786}
> Progress 5.036%, elapsed 318 s, estimated 6325 s, iters = {MDP: 81595}
> Progress 5.086%, elapsed 321 s, estimated 6322 s, iters = {MDP: 82405}
> Progress 5.136%, elapsed 324 s, estimated 6318 s, iters = {MDP: 83219}
> Progress 5.186%, elapsed 327 s, estimated 6316 s, iters = {MDP: 84020}
> Progress 5.235%, elapsed 330 s, estimated 6314 s, iters = {MDP: 84809}
> Progress 5.279%, elapsed 333 s, estimated 6318 s, iters = {MDP: 85526}
> Progress 5.315%, elapsed 336 s, estimated 6332 s, iters = {MDP: 86106}
> Progress 5.364%, elapsed 339 s, estimated 6330 s, iters = {MDP: 86911}
> Progress 5.415%, elapsed 342 s, estimated 6326 s, iters = {MDP: 87726}
> Progress 5.465%, elapsed 345 s, estimated 6323 s, iters = {MDP: 88543}
> Progress 5.516%, elapsed 348 s, estimated 6319 s, iters = {MDP: 89365}
> Progress 5.566%, elapsed 351 s, estimated 6316 s, iters = {MDP: 90181}
> Progress 5.616%, elapsed 354 s, estimated 6313 s, iters = {MDP: 90987}
> Progress 5.665%, elapsed 357 s, estimated 6311 s, iters = {MDP: 91788}
> Progress 5.713%, elapsed 360 s, estimated 6311 s, iters = {MDP: 92566}
> Progress 5.761%, elapsed 363 s, estimated 6310 s, iters = {MDP: 93339}
> Progress 5.811%, elapsed 366 s, estimated 6308 s, iters = {MDP: 94141}
> Progress 5.861%, elapsed 369 s, estimated 6306 s, iters = {MDP: 94951}
> Progress 5.91%, elapsed 372 s, estimated 6304 s, iters = {MDP: 95746}
> Progress 5.959%, elapsed 375 s, estimated 6302 s, iters = {MDP: 96547}
> Progress 6.008%, elapsed 378 s, estimated 6300 s, iters = {MDP: 97344}
> Progress 6.059%, elapsed 381 s, estimated 6297 s, iters = {MDP: 98169}
> Progress 6.109%, elapsed 384 s, estimated 6295 s, iters = {MDP: 98974}
> Progress 6.159%, elapsed 387 s, estimated 6292 s, iters = {MDP: 99790}
> Progress 6.21%, elapsed 390 s, estimated 6289 s, iters = {MDP: 100611}
> Progress 6.257%, elapsed 393 s, estimated 6290 s, iters = {MDP: 101378}
> Progress 6.306%, elapsed 396 s, estimated 6289 s, iters = {MDP: 102168}
> Progress 6.357%, elapsed 399 s, estimated 6285 s, iters = {MDP: 102992}
> Progress 6.406%, elapsed 402 s, estimated 6284 s, iters = {MDP: 103791}
> Progress 6.456%, elapsed 405 s, estimated 6282 s, iters = {MDP: 104603}
> Progress 6.506%, elapsed 408 s, estimated 6280 s, iters = {MDP: 105408}
> Progress 6.556%, elapsed 411 s, estimated 6277 s, iters = {MDP: 106224}
> Progress 6.607%, elapsed 414 s, estimated 6275 s, iters = {MDP: 107037}
> Progress 6.656%, elapsed 417 s, estimated 6273 s, iters = {MDP: 107840}
> Progress 6.705%, elapsed 420 s, estimated 6273 s, iters = {MDP: 108626}
> Progress 6.753%, elapsed 423 s, estimated 6273 s, iters = {MDP: 109406}
> Progress 6.801%, elapsed 426 s, estimated 6272 s, iters = {MDP: 110188}
> Progress 6.851%, elapsed 429 s, estimated 6271 s, iters = {MDP: 110990}
> Progress 6.901%, elapsed 432 s, estimated 6269 s, iters = {MDP: 111802}
> Progress 6.95%, elapsed 435 s, estimated 6267 s, iters = {MDP: 112598}
> Progress 7.0%, elapsed 438 s, estimated 6266 s, iters = {MDP: 113409}
> Progress 7.049%, elapsed 441 s, estimated 6265 s, iters = {MDP: 114200}
> Progress 7.099%, elapsed 444 s, estimated 6263 s, iters = {MDP: 115008}
> Progress 7.122%, elapsed 448 s, estimated 6296 s, iters = {MDP: 115393}
> Progress 7.169%, elapsed 451 s, estimated 6297 s, iters = {MDP: 116151}
> Progress 7.2%, elapsed 454 s, estimated 6312 s, iters = {MDP: 116644}
> Progress 7.248%, elapsed 457 s, estimated 6311 s, iters = {MDP: 117427}
> Progress 7.297%, elapsed 460 s, estimated 6310 s, iters = {MDP: 118227}
> Progress 7.345%, elapsed 463 s, estimated 6309 s, iters = {MDP: 119004}
> Progress 7.395%, elapsed 466 s, estimated 6308 s, iters = {MDP: 119804}
> Progress 7.444%, elapsed 469 s, estimated 6306 s, iters = {MDP: 120605}
> Progress 7.494%, elapsed 472 s, estimated 6304 s, iters = {MDP: 121416}
> Progress 7.544%, elapsed 475 s, estimated 6302 s, iters = {MDP: 122219}
> Progress 7.594%, elapsed 478 s, estimated 6301 s, iters = {MDP: 123026}
> Progress 7.642%, elapsed 481 s, estimated 6300 s, iters = {MDP: 123810}
> Progress 7.69%, elapsed 484 s, estimated 6300 s, iters = {MDP: 124582}
> Progress 7.74%, elapsed 487 s, estimated 6298 s, iters = {MDP: 125395}
> Progress 7.79%, elapsed 490 s, estimated 6296 s, iters = {MDP: 126208}
> Progress 7.84%, elapsed 493 s, estimated 6294 s, iters = {MDP: 127017}
> Progress 7.89%, elapsed 496 s, estimated 6292 s, iters = {MDP: 127825}
> Progress 7.94%, elapsed 499 s, estimated 6291 s, iters = {MDP: 128632}
> Progress 7.989%, elapsed 502 s, estimated 6290 s, iters = {MDP: 129427}
> Progress 8.039%, elapsed 505 s, estimated 6288 s, iters = {MDP: 130237}
> Progress 8.089%, elapsed 508 s, estimated 6286 s, iters = {MDP: 131043}
> Progress 8.138%, elapsed 511 s, estimated 6285 s, iters = {MDP: 131840}
> Progress 8.186%, elapsed 514 s, estimated 6285 s, iters = {MDP: 132627}
> Progress 8.238%, elapsed 517 s, estimated 6282 s, iters = {MDP: 133461}
> Progress 8.288%, elapsed 520 s, estimated 6280 s, iters = {MDP: 134274}
> Progress 8.339%, elapsed 523 s, estimated 6278 s, iters = {MDP: 135100}
