2023-12-19 13:27:54,243 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:27:54,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.templ ...
2023-12-19 13:27:54,244 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:27:54,256 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:27:54,256 - prism_parser.py - processing hole definitions...
2023-12-19 13:27:54,257 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.props ...
2023-12-19 13:27:54,258 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:54,258 - jani.py - constructing JANI program...
2023-12-19 13:27:54,269 - jani.py - constructing the quotient...
2023-12-19 13:27:54,998 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:27:55,156 - sketch.py - sketch parsing OK
2023-12-19 13:27:55,156 - sketch.py - constructed explicit quotient having 17927 states and 191629 actions
2023-12-19 13:27:55,156 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:55,256 - mdp_family.py - associating choices with action labels...
2023-12-19 13:27:55,492 - synthesizer.py - evaluation initiated, design space: 4500
> Progress 78.288%, elapsed 591 s, estimated 755 s, iters = {MDP: 3524}
> Progress 78.511%, elapsed 594 s, estimated 757 s, iters = {MDP: 3534}
> Progress 78.866%, elapsed 598 s, estimated 758 s, iters = {MDP: 3550}
> Progress 79.177%, elapsed 601 s, estimated 759 s, iters = {MDP: 3564}
> Progress 79.533%, elapsed 604 s, estimated 760 s, iters = {MDP: 3580}
> Progress 79.844%, elapsed 607 s, estimated 761 s, iters = {MDP: 3594}
> Progress 80.155%, elapsed 611 s, estimated 762 s, iters = {MDP: 3608}
> Progress 80.355%, elapsed 614 s, estimated 764 s, iters = {MDP: 3617}
> Progress 80.555%, elapsed 617 s, estimated 766 s, iters = {MDP: 3626}
> Progress 80.777%, elapsed 620 s, estimated 767 s, iters = {MDP: 3636}
> Progress 81.022%, elapsed 623 s, estimated 769 s, iters = {MDP: 3647}
> Progress 81.377%, elapsed 626 s, estimated 769 s, iters = {MDP: 3663}
> Progress 81.711%, elapsed 629 s, estimated 770 s, iters = {MDP: 3678}
> Progress 82.044%, elapsed 632 s, estimated 771 s, iters = {MDP: 3693}
> Progress 82.288%, elapsed 635 s, estimated 772 s, iters = {MDP: 3704}
> Progress 82.533%, elapsed 639 s, estimated 774 s, iters = {MDP: 3715}
> Progress 82.777%, elapsed 642 s, estimated 775 s, iters = {MDP: 3726}
> Progress 83.044%, elapsed 645 s, estimated 777 s, iters = {MDP: 3738}
> Progress 83.866%, elapsed 648 s, estimated 773 s, iters = {MDP: 3775}
> Progress 84.088%, elapsed 651 s, estimated 775 s, iters = {MDP: 3785}
> Progress 84.288%, elapsed 654 s, estimated 777 s, iters = {MDP: 3794}
> Progress 84.488%, elapsed 658 s, estimated 778 s, iters = {MDP: 3803}
