2023-12-19 13:41:39,450 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:41:39,450 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.templ ...
2023-12-19 13:41:39,450 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:41:39,458 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:41:39,458 - prism_parser.py - processing hole definitions...
2023-12-19 13:41:39,459 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.props ...
2023-12-19 13:41:39,460 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:39,460 - jani.py - constructing JANI program...
2023-12-19 13:41:39,499 - jani.py - constructing the quotient...
2023-12-19 13:41:40,640 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:41:40,971 - sketch.py - sketch parsing OK
2023-12-19 13:41:40,972 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2023-12-19 13:41:40,972 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:41,126 - mdp_family.py - associating choices with action labels...
2023-12-19 13:41:41,502 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 10.687%, elapsed 251 s, estimated 2352 s, iters = {MDP: 1540}
> Progress 10.791%, elapsed 254 s, estimated 2357 s, iters = {MDP: 1555}
> Progress 10.895%, elapsed 257 s, estimated 2365 s, iters = {MDP: 1570}
> Progress 10.986%, elapsed 260 s, estimated 2373 s, iters = {MDP: 1583}
> Progress 11.041%, elapsed 263 s, estimated 2390 s, iters = {MDP: 1591}
> Progress 11.18%, elapsed 267 s, estimated 2388 s, iters = {MDP: 1611}
> Progress 11.236%, elapsed 270 s, estimated 2404 s, iters = {MDP: 1619}
> Progress 11.493%, elapsed 273 s, estimated 2376 s, iters = {MDP: 1656}
> Progress 11.555%, elapsed 276 s, estimated 2391 s, iters = {MDP: 1665}
> Progress 11.638%, elapsed 279 s, estimated 2400 s, iters = {MDP: 1677}
> Progress 11.694%, elapsed 282 s, estimated 2415 s, iters = {MDP: 1685}
> Progress 11.756%, elapsed 285 s, estimated 2429 s, iters = {MDP: 1694}
> Progress 11.881%, elapsed 288 s, estimated 2429 s, iters = {MDP: 1712}
> Progress 12.027%, elapsed 291 s, estimated 2425 s, iters = {MDP: 1733}
> Progress 12.222%, elapsed 294 s, estimated 2413 s, iters = {MDP: 1761}
> Progress 12.284%, elapsed 298 s, estimated 2427 s, iters = {MDP: 1770}
> Progress 12.354%, elapsed 301 s, estimated 2440 s, iters = {MDP: 1780}
> Progress 12.562%, elapsed 304 s, estimated 2425 s, iters = {MDP: 1810}
> Progress 12.625%, elapsed 308 s, estimated 2439 s, iters = {MDP: 1819}
> Progress 12.687%, elapsed 311 s, estimated 2452 s, iters = {MDP: 1828}
> Progress 12.798%, elapsed 314 s, estimated 2454 s, iters = {MDP: 1844}
> Progress 12.861%, elapsed 317 s, estimated 2468 s, iters = {MDP: 1853}
> Progress 12.93%, elapsed 320 s, estimated 2478 s, iters = {MDP: 1863}
> Progress 13.02%, elapsed 323 s, estimated 2486 s, iters = {MDP: 1876}
> Progress 13.173%, elapsed 326 s, estimated 2481 s, iters = {MDP: 1898}
> Progress 13.229%, elapsed 330 s, estimated 2495 s, iters = {MDP: 1906}
> Progress 13.319%, elapsed 333 s, estimated 2501 s, iters = {MDP: 1919}
> Progress 13.465%, elapsed 336 s, estimated 2498 s, iters = {MDP: 1940}
> Progress 13.527%, elapsed 339 s, estimated 2510 s, iters = {MDP: 1949}
> Progress 13.729%, elapsed 342 s, estimated 2497 s, iters = {MDP: 1978}
> Progress 13.791%, elapsed 345 s, estimated 2507 s, iters = {MDP: 1987}
> Progress 13.875%, elapsed 348 s, estimated 2514 s, iters = {MDP: 1999}
> Progress 13.951%, elapsed 352 s, estimated 2525 s, iters = {MDP: 2010}
> Progress 14.118%, elapsed 355 s, estimated 2517 s, iters = {MDP: 2034}
> Progress 14.249%, elapsed 358 s, estimated 2515 s, iters = {MDP: 2053}
> Progress 14.374%, elapsed 361 s, estimated 2514 s, iters = {MDP: 2071}
> Progress 14.451%, elapsed 364 s, estimated 2524 s, iters = {MDP: 2082}
> Progress 14.604%, elapsed 368 s, estimated 2521 s, iters = {MDP: 2104}
> Progress 14.659%, elapsed 371 s, estimated 2532 s, iters = {MDP: 2112}
> Progress 14.812%, elapsed 374 s, estimated 2529 s, iters = {MDP: 2134}
> Progress 14.888%, elapsed 378 s, estimated 2539 s, iters = {MDP: 2145}
> Progress 15.041%, elapsed 381 s, estimated 2534 s, iters = {MDP: 2167}
> Progress 15.097%, elapsed 384 s, estimated 2546 s, iters = {MDP: 2175}
> Progress 15.173%, elapsed 387 s, estimated 2554 s, iters = {MDP: 2186}
> Progress 15.229%, elapsed 390 s, estimated 2565 s, iters = {MDP: 2194}
> Progress 15.291%, elapsed 393 s, estimated 2576 s, iters = {MDP: 2203}
> Progress 15.368%, elapsed 397 s, estimated 2583 s, iters = {MDP: 2214}
> Progress 15.423%, elapsed 400 s, estimated 2594 s, iters = {MDP: 2222}
> Progress 15.479%, elapsed 403 s, estimated 2605 s, iters = {MDP: 2230}
> Progress 15.534%, elapsed 406 s, estimated 2615 s, iters = {MDP: 2238}
> Progress 15.59%, elapsed 409 s, estimated 2626 s, iters = {MDP: 2246}
> Progress 15.645%, elapsed 412 s, estimated 2636 s, iters = {MDP: 2254}
> Progress 15.729%, elapsed 415 s, estimated 2643 s, iters = {MDP: 2266}
> Progress 15.798%, elapsed 419 s, estimated 2652 s, iters = {MDP: 2276}
> Progress 15.902%, elapsed 422 s, estimated 2654 s, iters = {MDP: 2291}
> Progress 15.979%, elapsed 425 s, estimated 2661 s, iters = {MDP: 2302}
> Progress 16.041%, elapsed 428 s, estimated 2672 s, iters = {MDP: 2311}
> Progress 16.097%, elapsed 431 s, estimated 2682 s, iters = {MDP: 2319}
> Progress 16.152%, elapsed 435 s, estimated 2693 s, iters = {MDP: 2327}
> Progress 16.208%, elapsed 438 s, estimated 2702 s, iters = {MDP: 2335}
> Progress 16.263%, elapsed 441 s, estimated 2712 s, iters = {MDP: 2343}
> Progress 16.326%, elapsed 444 s, estimated 2720 s, iters = {MDP: 2352}
> Progress 16.388%, elapsed 447 s, estimated 2730 s, iters = {MDP: 2361}
> Progress 16.465%, elapsed 450 s, estimated 2737 s, iters = {MDP: 2372}
> Progress 16.534%, elapsed 454 s, estimated 2746 s, iters = {MDP: 2382}
> Progress 16.59%, elapsed 457 s, estimated 2756 s, iters = {MDP: 2390}
> Progress 16.659%, elapsed 460 s, estimated 2764 s, iters = {MDP: 2400}
> Progress 16.729%, elapsed 463 s, estimated 2771 s, iters = {MDP: 2410}
> Progress 16.791%, elapsed 466 s, estimated 2780 s, iters = {MDP: 2419}
> Progress 16.847%, elapsed 470 s, estimated 2790 s, iters = {MDP: 2427}
> Progress 16.916%, elapsed 473 s, estimated 2797 s, iters = {MDP: 2437}
> Progress 16.972%, elapsed 476 s, estimated 2807 s, iters = {MDP: 2445}
> Progress 17.034%, elapsed 479 s, estimated 2815 s, iters = {MDP: 2454}
> Progress 17.09%, elapsed 482 s, estimated 2825 s, iters = {MDP: 2462}
> Progress 17.152%, elapsed 486 s, estimated 2833 s, iters = {MDP: 2471}
> Progress 17.208%, elapsed 489 s, estimated 2843 s, iters = {MDP: 2479}
> Progress 17.263%, elapsed 492 s, estimated 2854 s, iters = {MDP: 2487}
> Progress 17.319%, elapsed 496 s, estimated 2864 s, iters = {MDP: 2495}
> Progress 17.381%, elapsed 499 s, estimated 2872 s, iters = {MDP: 2504}
> Progress 17.451%, elapsed 502 s, estimated 2879 s, iters = {MDP: 2514}
> Progress 17.513%, elapsed 505 s, estimated 2887 s, iters = {MDP: 2523}
> Progress 17.569%, elapsed 509 s, estimated 2897 s, iters = {MDP: 2531}
> Progress 17.625%, elapsed 512 s, estimated 2906 s, iters = {MDP: 2539}
> Progress 17.694%, elapsed 515 s, estimated 2911 s, iters = {MDP: 2549}
> Progress 17.756%, elapsed 518 s, estimated 2920 s, iters = {MDP: 2558}
> Progress 17.805%, elapsed 521 s, estimated 2929 s, iters = {MDP: 2565}
> Progress 17.854%, elapsed 524 s, estimated 2938 s, iters = {MDP: 2572}
> Progress 17.909%, elapsed 527 s, estimated 2946 s, iters = {MDP: 2580}
> Progress 17.986%, elapsed 530 s, estimated 2952 s, iters = {MDP: 2591}
> Progress 18.055%, elapsed 534 s, estimated 2958 s, iters = {MDP: 2601}
> Progress 18.118%, elapsed 537 s, estimated 2967 s, iters = {MDP: 2610}
> Progress 18.173%, elapsed 540 s, estimated 2976 s, iters = {MDP: 2618}
> Progress 18.229%, elapsed 543 s, estimated 2984 s, iters = {MDP: 2626}
