2024-01-18 00:59:06,270 - cli.py - This is Paynt version 0.1.0.
2024-01-18 00:59:06,270 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-18 00:59:06,270 - sketch.py - assuming sketch in PRISM format...
2024-01-18 00:59:06,275 - prism_parser.py - PRISM model type: MDP
2024-01-18 00:59:06,276 - prism_parser.py - processing hole definitions...
2024-01-18 00:59:06,276 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-18 00:59:06,277 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,277 - jani.py - constructing JANI program...
2024-01-18 00:59:06,280 - jani.py - constructing the quotient...
2024-01-18 00:59:06,364 - jani.py - associating choices of the quotient with hole assignments...
2024-01-18 00:59:06,407 - sketch.py - sketch parsing OK
2024-01-18 00:59:06,408 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-18 00:59:06,408 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,415 - mdp_family.py - associating choices with action labels...
2024-01-18 00:59:06,447 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 29.043%, elapsed 307 s, estimated 1059 s, iters = {MDP: 92226}
> progress 29.168%, elapsed 310 s, estimated 1064 s, iters = {MDP: 92995}
> progress 29.199%, elapsed 313 s, estimated 1074 s, iters = {MDP: 93958}
> progress 29.23%, elapsed 316 s, estimated 1083 s, iters = {MDP: 94684}
> progress 29.344%, elapsed 319 s, estimated 1089 s, iters = {MDP: 95429}
> progress 29.52%, elapsed 322 s, estimated 1093 s, iters = {MDP: 96118}
> progress 29.631%, elapsed 325 s, estimated 1099 s, iters = {MDP: 96932}
> progress 29.646%, elapsed 328 s, estimated 1109 s, iters = {MDP: 97785}
> progress 29.662%, elapsed 331 s, estimated 1118 s, iters = {MDP: 98883}
> progress 29.677%, elapsed 334 s, estimated 1128 s, iters = {MDP: 99772}
> progress 29.692%, elapsed 337 s, estimated 1138 s, iters = {MDP: 100381}
> progress 29.722%, elapsed 340 s, estimated 1147 s, iters = {MDP: 101130}
> progress 29.84%, elapsed 343 s, estimated 1152 s, iters = {MDP: 101886}
> progress 29.971%, elapsed 347 s, estimated 1158 s, iters = {MDP: 102707}
> progress 30.093%, elapsed 350 s, estimated 1163 s, iters = {MDP: 103523}
> progress 30.12%, elapsed 353 s, estimated 1172 s, iters = {MDP: 104397}
> progress 30.154%, elapsed 356 s, estimated 1181 s, iters = {MDP: 105358}
> progress 30.169%, elapsed 359 s, estimated 1190 s, iters = {MDP: 105846}
> progress 30.288%, elapsed 362 s, estimated 1195 s, iters = {MDP: 106671}
> progress 30.416%, elapsed 365 s, estimated 1200 s, iters = {MDP: 107479}
> progress 30.534%, elapsed 368 s, estimated 1205 s, iters = {MDP: 108207}
> progress 30.572%, elapsed 371 s, estimated 1214 s, iters = {MDP: 109054}
> progress 30.603%, elapsed 374 s, estimated 1223 s, iters = {MDP: 110022}
> progress 30.618%, elapsed 377 s, estimated 1232 s, iters = {MDP: 110640}
> progress 30.744%, elapsed 380 s, estimated 1237 s, iters = {MDP: 111516}
> progress 30.864%, elapsed 383 s, estimated 1242 s, iters = {MDP: 112254}
> progress 30.985%, elapsed 386 s, estimated 1246 s, iters = {MDP: 113013}
> progress 31.035%, elapsed 389 s, estimated 1254 s, iters = {MDP: 113790}
> progress 31.065%, elapsed 392 s, estimated 1263 s, iters = {MDP: 114760}
> progress 31.081%, elapsed 395 s, estimated 1272 s, iters = {MDP: 115415}
> progress 31.179%, elapsed 398 s, estimated 1278 s, iters = {MDP: 116211}
> progress 31.306%, elapsed 401 s, estimated 1282 s, iters = {MDP: 117014}
> progress 31.432%, elapsed 404 s, estimated 1287 s, iters = {MDP: 117800}
> progress 31.482%, elapsed 407 s, estimated 1294 s, iters = {MDP: 118552}
> progress 31.512%, elapsed 410 s, estimated 1302 s, iters = {MDP: 119367}
> progress 31.529%, elapsed 413 s, estimated 1311 s, iters = {MDP: 120331}
> progress 31.544%, elapsed 416 s, estimated 1320 s, iters = {MDP: 120927}
> progress 31.604%, elapsed 419 s, estimated 1327 s, iters = {MDP: 121712}
> progress 31.705%, elapsed 422 s, estimated 1332 s, iters = {MDP: 122580}
> progress 31.797%, elapsed 425 s, estimated 1338 s, iters = {MDP: 123374}
> progress 31.89%, elapsed 428 s, estimated 1344 s, iters = {MDP: 124177}
> progress 31.96%, elapsed 431 s, estimated 1350 s, iters = {MDP: 124927}
> progress 32.007%, elapsed 434 s, estimated 1358 s, iters = {MDP: 125716}
> progress 32.101%, elapsed 437 s, estimated 1363 s, iters = {MDP: 126548}
> progress 32.193%, elapsed 440 s, estimated 1369 s, iters = {MDP: 127343}
> progress 32.288%, elapsed 443 s, estimated 1374 s, iters = {MDP: 128157}
> progress 32.381%, elapsed 446 s, estimated 1379 s, iters = {MDP: 128953}
> progress 32.446%, elapsed 449 s, estimated 1386 s, iters = {MDP: 129851}
> progress 32.5%, elapsed 452 s, estimated 1393 s, iters = {MDP: 130580}
> progress 32.551%, elapsed 455 s, estimated 1400 s, iters = {MDP: 131418}
> progress 32.618%, elapsed 458 s, estimated 1406 s, iters = {MDP: 132121}
> progress 32.716%, elapsed 461 s, estimated 1411 s, iters = {MDP: 132960}
> progress 32.808%, elapsed 464 s, estimated 1417 s, iters = {MDP: 133760}
> progress 32.903%, elapsed 467 s, estimated 1422 s, iters = {MDP: 134588}
> progress 32.988%, elapsed 470 s, estimated 1427 s, iters = {MDP: 135307}
> progress 33.078%, elapsed 473 s, estimated 1432 s, iters = {MDP: 136080}
> progress 33.173%, elapsed 476 s, estimated 1437 s, iters = {MDP: 136901}
> progress 33.266%, elapsed 480 s, estimated 1442 s, iters = {MDP: 137695}
> progress 34.261%, elapsed 483 s, estimated 1409 s, iters = {MDP: 138486}
> progress 34.32%, elapsed 486 s, estimated 1416 s, iters = {MDP: 139158}
> progress 34.415%, elapsed 489 s, estimated 1421 s, iters = {MDP: 140327}
> progress 34.469%, elapsed 492 s, estimated 1427 s, iters = {MDP: 140812}
> progress 34.562%, elapsed 495 s, estimated 1432 s, iters = {MDP: 141361}
> progress 34.634%, elapsed 498 s, estimated 1438 s, iters = {MDP: 141789}
> progress 34.855%, elapsed 501 s, estimated 1438 s, iters = {MDP: 142838}
> progress 34.938%, elapsed 504 s, estimated 1443 s, iters = {MDP: 143416}
> progress 35.038%, elapsed 507 s, estimated 1448 s, iters = {MDP: 144054}
> progress 35.104%, elapsed 510 s, estimated 1454 s, iters = {MDP: 144464}
> progress 35.223%, elapsed 513 s, estimated 1457 s, iters = {MDP: 145462}
> progress 35.292%, elapsed 516 s, estimated 1463 s, iters = {MDP: 146323}
> progress 35.375%, elapsed 519 s, estimated 1468 s, iters = {MDP: 147224}
> progress 35.442%, elapsed 522 s, estimated 1474 s, iters = {MDP: 147809}
> progress 35.512%, elapsed 525 s, estimated 1480 s, iters = {MDP: 148412}
> progress 35.566%, elapsed 528 s, estimated 1486 s, iters = {MDP: 148874}
> progress 36.601%, elapsed 531 s, estimated 1452 s, iters = {MDP: 150022}
> progress 36.684%, elapsed 534 s, estimated 1457 s, iters = {MDP: 150951}
> progress 36.758%, elapsed 537 s, estimated 1463 s, iters = {MDP: 151755}
> progress 36.846%, elapsed 541 s, estimated 1468 s, iters = {MDP: 152284}
> progress 36.926%, elapsed 544 s, estimated 1473 s, iters = {MDP: 152751}
> progress 37.075%, elapsed 547 s, estimated 1475 s, iters = {MDP: 153567}
> progress 37.207%, elapsed 550 s, estimated 1478 s, iters = {MDP: 154242}
> progress 37.298%, elapsed 553 s, estimated 1482 s, iters = {MDP: 154804}
> progress 37.381%, elapsed 556 s, estimated 1487 s, iters = {MDP: 155336}
