2024-01-16 21:00:17,719 - cli.py - This is Paynt version 0.1.0.
2024-01-16 21:00:17,719 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.templ ...
2024-01-16 21:00:17,719 - sketch.py - assuming sketch in PRISM format...
2024-01-16 21:00:17,722 - prism_parser.py - PRISM model type: MDP
2024-01-16 21:00:17,722 - prism_parser.py - processing hole definitions...
2024-01-16 21:00:17,723 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.props ...
2024-01-16 21:00:17,723 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,724 - jani.py - constructing JANI program...
2024-01-16 21:00:17,726 - jani.py - constructing the quotient...
2024-01-16 21:00:17,741 - jani.py - associating choices of the quotient with hole assignments...
2024-01-16 21:00:17,743 - sketch.py - sketch parsing OK
2024-01-16 21:00:17,744 - sketch.py - constructed explicit quotient having 783 states and 2856 actions
2024-01-16 21:00:17,744 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,744 - mdp_family.py - associating choices with action labels...
2024-01-16 21:00:17,750 - synthesizer.py - evaluation initiated, design space: 2488320
> progress 31.655%, elapsed 327 s, estimated 1033 s, iters = {game: 95579, MDP: 41860}
> progress 31.924%, elapsed 330 s, estimated 1034 s, iters = {game: 96479, MDP: 42250}
> progress 32.276%, elapsed 333 s, estimated 1032 s, iters = {game: 97407, MDP: 42650}
> progress 32.378%, elapsed 336 s, estimated 1038 s, iters = {game: 98309, MDP: 43045}
> progress 33.355%, elapsed 339 s, estimated 1016 s, iters = {game: 99156, MDP: 43411}
> progress 33.416%, elapsed 342 s, estimated 1024 s, iters = {game: 99923, MDP: 43743}
> progress 33.571%, elapsed 345 s, estimated 1028 s, iters = {game: 100733, MDP: 44094}
> progress 33.664%, elapsed 348 s, estimated 1034 s, iters = {game: 101527, MDP: 44436}
> progress 33.754%, elapsed 351 s, estimated 1040 s, iters = {game: 102359, MDP: 44792}
> progress 33.898%, elapsed 354 s, estimated 1044 s, iters = {game: 103199, MDP: 45159}
> progress 34.22%, elapsed 357 s, estimated 1043 s, iters = {game: 103968, MDP: 45493}
> progress 34.321%, elapsed 360 s, estimated 1049 s, iters = {game: 104813, MDP: 45859}
> progress 34.401%, elapsed 363 s, estimated 1055 s, iters = {game: 105673, MDP: 46238}
> progress 34.78%, elapsed 366 s, estimated 1052 s, iters = {game: 106492, MDP: 46591}
> progress 37.557%, elapsed 369 s, estimated 983 s, iters = {game: 107219, MDP: 46908}
> progress 37.622%, elapsed 372 s, estimated 989 s, iters = {game: 107977, MDP: 47237}
> progress 37.713%, elapsed 375 s, estimated 994 s, iters = {game: 108769, MDP: 47580}
> progress 37.811%, elapsed 378 s, estimated 1000 s, iters = {game: 109522, MDP: 47908}
> progress 37.881%, elapsed 381 s, estimated 1006 s, iters = {game: 110241, MDP: 48228}
> progress 38.038%, elapsed 384 s, estimated 1010 s, iters = {game: 111068, MDP: 48589}
> progress 38.402%, elapsed 387 s, estimated 1008 s, iters = {game: 111831, MDP: 48924}
> progress 38.506%, elapsed 390 s, estimated 1013 s, iters = {game: 112679, MDP: 49296}
> progress 39.849%, elapsed 393 s, estimated 986 s, iters = {game: 113464, MDP: 49636}
> progress 40.768%, elapsed 396 s, estimated 971 s, iters = {game: 114210, MDP: 49961}
> progress 41.006%, elapsed 399 s, estimated 973 s, iters = {game: 114979, MDP: 50297}
> progress 41.244%, elapsed 402 s, estimated 975 s, iters = {game: 115745, MDP: 50632}
> progress 41.539%, elapsed 405 s, estimated 975 s, iters = {game: 116507, MDP: 50963}
> progress 42.032%, elapsed 408 s, estimated 971 s, iters = {game: 117252, MDP: 51287}
> progress 43.769%, elapsed 411 s, estimated 939 s, iters = {game: 118083, MDP: 51652}
> progress 43.84%, elapsed 414 s, estimated 944 s, iters = {game: 118697, MDP: 51918}
> progress 43.916%, elapsed 417 s, estimated 950 s, iters = {game: 119479, MDP: 52256}
> progress 43.974%, elapsed 420 s, estimated 955 s, iters = {game: 120317, MDP: 52619}
> progress 44.053%, elapsed 423 s, estimated 960 s, iters = {game: 121135, MDP: 52974}
> progress 44.155%, elapsed 426 s, estimated 965 s, iters = {game: 121908, MDP: 53307}
> progress 44.305%, elapsed 429 s, estimated 968 s, iters = {game: 122731, MDP: 53663}
> progress 44.723%, elapsed 432 s, estimated 966 s, iters = {game: 123511, MDP: 54001}
> progress 44.927%, elapsed 435 s, estimated 968 s, iters = {game: 124332, MDP: 54360}
> progress 45.896%, elapsed 438 s, estimated 954 s, iters = {game: 125088, MDP: 54690}
> progress 46.027%, elapsed 441 s, estimated 958 s, iters = {game: 125891, MDP: 55036}
> progress 46.094%, elapsed 444 s, estimated 963 s, iters = {game: 126684, MDP: 55384}
> progress 46.161%, elapsed 447 s, estimated 968 s, iters = {game: 127449, MDP: 55716}
