2024-01-08 14:24:00,600 - cli.py - This is Paynt version 0.1.0.
2024-01-08 14:24:00,600 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.templ ...
> Progress 63.27%, elapsed 389 s, estimated 616 s, iters = {game: 6637, MDP: 8731}
> Progress 63.28%, elapsed 393 s, estimated 621 s, iters = {game: 6666, MDP: 8764}
> Progress 63.291%, elapsed 396 s, estimated 625 s, iters = {game: 6694, MDP: 8806}
> Progress 63.3%, elapsed 399 s, estimated 630 s, iters = {game: 6722, MDP: 8837}
> Progress 63.308%, elapsed 402 s, estimated 635 s, iters = {game: 6750, MDP: 8873}
> Progress 63.318%, elapsed 405 s, estimated 639 s, iters = {game: 6778, MDP: 8907}
> Progress 63.333%, elapsed 408 s, estimated 644 s, iters = {game: 6805, MDP: 8939}
> Progress 63.832%, elapsed 411 s, estimated 644 s, iters = {game: 6834, MDP: 8976}
> Progress 63.854%, elapsed 414 s, estimated 648 s, iters = {game: 6861, MDP: 9015}
> Progress 63.87%, elapsed 417 s, estimated 653 s, iters = {game: 6888, MDP: 9045}
> Progress 63.88%, elapsed 420 s, estimated 658 s, iters = {game: 6915, MDP: 9079}
> Progress 63.887%, elapsed 423 s, estimated 662 s, iters = {game: 6941, MDP: 9109}
> Progress 65.52%, elapsed 426 s, estimated 650 s, iters = {game: 7000, MDP: 9189}
> Progress 65.548%, elapsed 429 s, estimated 655 s, iters = {game: 7061, MDP: 9261}
> Progress 66.07%, elapsed 432 s, estimated 654 s, iters = {game: 7122, MDP: 9346}
> Progress 66.097%, elapsed 435 s, estimated 658 s, iters = {game: 7182, MDP: 9426}
> Progress 66.607%, elapsed 438 s, estimated 658 s, iters = {game: 7243, MDP: 9506}
> Progress 66.648%, elapsed 441 s, estimated 662 s, iters = {game: 7304, MDP: 9585}
> Progress 67.111%, elapsed 444 s, estimated 662 s, iters = {game: 7364, MDP: 9668}
> Progress 67.191%, elapsed 447 s, estimated 666 s, iters = {game: 7425, MDP: 9749}
> Progress 67.218%, elapsed 450 s, estimated 670 s, iters = {game: 7486, MDP: 9826}
> Progress 67.715%, elapsed 453 s, estimated 670 s, iters = {game: 7550, MDP: 9919}
> Progress 67.743%, elapsed 456 s, estimated 674 s, iters = {game: 7615, MDP: 9994}
> Progress 67.763%, elapsed 459 s, estimated 678 s, iters = {game: 7679, MDP: 10073}
> Progress 68.153%, elapsed 462 s, estimated 679 s, iters = {game: 7764, MDP: 10185}
