2024-01-08 15:04:15,691 - cli.py - This is Paynt version 0.1.0.
2024-01-08 15:04:15,691 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/100-big/sketch.templ ...
2024-01-08 15:04:15,691 - sketch.py - assuming sketch in PRISM format...
2024-01-08 15:04:15,693 - prism_parser.py - PRISM model type: MDP
2024-01-08 15:04:15,693 - prism_parser.py - processing hole definitions...
2024-01-08 15:04:15,694 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/100-big/sketch.props ...
2024-01-08 15:04:15,695 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-08 15:04:15,695 - jani.py - constructing JANI program...
2024-01-08 15:04:15,699 - jani.py - constructing the quotient...
2024-01-08 15:04:15,784 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 15:04:15,825 - sketch.py - sketch parsing OK
2024-01-08 15:04:15,825 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-08 15:04:15,825 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-08 15:04:15,832 - mdp_family.py - associating choices with action labels...
2024-01-08 15:04:15,878 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 29.228%, elapsed 210 s, estimated 718 s, iters = {game: 52494, MDP: 59945}
> Progress 29.856%, elapsed 213 s, estimated 713 s, iters = {game: 53249, MDP: 60700}
> Progress 30.331%, elapsed 216 s, estimated 712 s, iters = {game: 53922, MDP: 61373}
> Progress 30.812%, elapsed 219 s, estimated 711 s, iters = {game: 54595, MDP: 62046}
> Progress 31.265%, elapsed 222 s, estimated 710 s, iters = {game: 55350, MDP: 62801}
> Progress 31.903%, elapsed 225 s, estimated 705 s, iters = {game: 56054, MDP: 63505}
> Progress 32.447%, elapsed 228 s, estimated 702 s, iters = {game: 56790, MDP: 64241}
> Progress 33.06%, elapsed 231 s, estimated 699 s, iters = {game: 57507, MDP: 64958}
> Progress 33.352%, elapsed 234 s, estimated 701 s, iters = {game: 58214, MDP: 65854}
> Progress 33.397%, elapsed 237 s, estimated 709 s, iters = {game: 58957, MDP: 67008}
> Progress 33.43%, elapsed 240 s, estimated 718 s, iters = {game: 59737, MDP: 68239}
> Progress 33.476%, elapsed 243 s, estimated 726 s, iters = {game: 60497, MDP: 69430}
> Progress 33.537%, elapsed 246 s, estimated 733 s, iters = {game: 61270, MDP: 70639}
> Progress 33.614%, elapsed 249 s, estimated 741 s, iters = {game: 62008, MDP: 71775}
> Progress 33.706%, elapsed 252 s, estimated 747 s, iters = {game: 62773, MDP: 72948}
> Progress 33.784%, elapsed 255 s, estimated 755 s, iters = {game: 63531, MDP: 74122}
> Progress 33.83%, elapsed 258 s, estimated 762 s, iters = {game: 64298, MDP: 75314}
> Progress 33.863%, elapsed 261 s, estimated 771 s, iters = {game: 64898, MDP: 76249}
> Progress 34.436%, elapsed 264 s, estimated 766 s, iters = {game: 65803, MDP: 77304}
> Progress 35.123%, elapsed 267 s, estimated 760 s, iters = {game: 66572, MDP: 78074}
> Progress 36.053%, elapsed 270 s, estimated 749 s, iters = {game: 67360, MDP: 78861}
> Progress 36.885%, elapsed 273 s, estimated 740 s, iters = {game: 68114, MDP: 79616}
> Progress 37.577%, elapsed 276 s, estimated 734 s, iters = {game: 68802, MDP: 80303}
> Progress 38.407%, elapsed 279 s, estimated 726 s, iters = {game: 69533, MDP: 81034}
> Progress 39.336%, elapsed 282 s, estimated 717 s, iters = {game: 70324, MDP: 81825}
> Progress 40.281%, elapsed 285 s, estimated 707 s, iters = {game: 71026, MDP: 82527}
> Progress 40.972%, elapsed 288 s, estimated 703 s, iters = {game: 71712, MDP: 83213}
> Progress 41.856%, elapsed 291 s, estimated 695 s, iters = {game: 72465, MDP: 83967}
> Progress 42.777%, elapsed 294 s, estimated 687 s, iters = {game: 73231, MDP: 84733}
> Progress 43.626%, elapsed 297 s, estimated 681 s, iters = {game: 73925, MDP: 85427}
