2023-12-19 11:51:34,462 - cli.py - This is Paynt version 0.1.0.
2023-12-19 11:51:34,462 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.templ ...
2023-12-19 11:51:34,462 - sketch.py - assuming sketch in PRISM format...
2023-12-19 11:51:34,464 - prism_parser.py - PRISM model type: MDP
2023-12-19 11:51:34,464 - prism_parser.py - processing hole definitions...
2023-12-19 11:51:34,465 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.props ...
2023-12-19 11:51:34,466 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:34,466 - jani.py - constructing JANI program...
2023-12-19 11:51:34,468 - jani.py - constructing the quotient...
2023-12-19 11:51:35,081 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 11:51:35,512 - sketch.py - sketch parsing OK
2023-12-19 11:51:35,512 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2023-12-19 11:51:35,512 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:35,724 - mdp_family.py - associating choices with action labels...
2023-12-19 11:51:36,041 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 33.204%, elapsed 392 s, estimated 1181 s, iters = {MDP: 12911}
> Progress 33.443%, elapsed 395 s, estimated 1182 s, iters = {MDP: 13004}
> Progress 33.634%, elapsed 398 s, estimated 1184 s, iters = {MDP: 13078}
> Progress 33.847%, elapsed 401 s, estimated 1186 s, iters = {MDP: 13161}
> Progress 34.099%, elapsed 404 s, estimated 1186 s, iters = {MDP: 13259}
> Progress 34.32%, elapsed 407 s, estimated 1187 s, iters = {MDP: 13345}
> Progress 34.583%, elapsed 410 s, estimated 1186 s, iters = {MDP: 13447}
> Progress 34.776%, elapsed 413 s, estimated 1189 s, iters = {MDP: 13522}
> Progress 35.01%, elapsed 416 s, estimated 1189 s, iters = {MDP: 13613}
> Progress 35.231%, elapsed 419 s, estimated 1190 s, iters = {MDP: 13699}
> Progress 35.452%, elapsed 422 s, estimated 1192 s, iters = {MDP: 13785}
> Progress 35.709%, elapsed 425 s, estimated 1191 s, iters = {MDP: 13885}
> Progress 35.925%, elapsed 428 s, estimated 1193 s, iters = {MDP: 13969}
> Progress 36.208%, elapsed 431 s, estimated 1192 s, iters = {MDP: 14079}
> Progress 36.412%, elapsed 434 s, estimated 1193 s, iters = {MDP: 14158}
> Progress 36.635%, elapsed 437 s, estimated 1194 s, iters = {MDP: 14245}
> Progress 36.887%, elapsed 440 s, estimated 1194 s, iters = {MDP: 14343}
> Progress 37.103%, elapsed 443 s, estimated 1196 s, iters = {MDP: 14427}
> Progress 37.361%, elapsed 446 s, estimated 1195 s, iters = {MDP: 14527}
> Progress 37.564%, elapsed 449 s, estimated 1197 s, iters = {MDP: 14606}
> Progress 37.818%, elapsed 452 s, estimated 1197 s, iters = {MDP: 14705}
> Progress 38.032%, elapsed 455 s, estimated 1198 s, iters = {MDP: 14788}
> Progress 38.256%, elapsed 458 s, estimated 1199 s, iters = {MDP: 14875}
> Progress 38.495%, elapsed 461 s, estimated 1199 s, iters = {MDP: 14968}
> Progress 38.711%, elapsed 464 s, estimated 1200 s, iters = {MDP: 15052}
> Progress 38.963%, elapsed 467 s, estimated 1200 s, iters = {MDP: 15150}
> Progress 39.169%, elapsed 470 s, estimated 1202 s, iters = {MDP: 15230}
> Progress 39.385%, elapsed 473 s, estimated 1203 s, iters = {MDP: 15314}
> Progress 39.624%, elapsed 476 s, estimated 1203 s, iters = {MDP: 15407}
> Progress 39.822%, elapsed 479 s, estimated 1205 s, iters = {MDP: 15484}
> Progress 40.064%, elapsed 482 s, estimated 1205 s, iters = {MDP: 15578}
> Progress 40.277%, elapsed 486 s, estimated 1206 s, iters = {MDP: 15661}
> Progress 40.498%, elapsed 489 s, estimated 1207 s, iters = {MDP: 15747}
> Progress 40.738%, elapsed 492 s, estimated 1207 s, iters = {MDP: 15840}
> Progress 40.933%, elapsed 495 s, estimated 1209 s, iters = {MDP: 15916}
> Progress 41.157%, elapsed 498 s, estimated 1210 s, iters = {MDP: 16003}
> Progress 41.368%, elapsed 501 s, estimated 1211 s, iters = {MDP: 16085}
> Progress 41.556%, elapsed 504 s, estimated 1213 s, iters = {MDP: 16158}
> Progress 41.802%, elapsed 507 s, estimated 1213 s, iters = {MDP: 16254}
> Progress 41.995%, elapsed 510 s, estimated 1214 s, iters = {MDP: 16329}
> Progress 42.193%, elapsed 513 s, estimated 1216 s, iters = {MDP: 16406}
