ERROR (SpiritErrorHandler.h:27): Parsing error at 3:1:  expecting <model type>, here:
	@type: POMDP
	^

Finished exploring under-approximation MDP.
Start analysis...
starting Storm POMDP analysis
Storm value: 194.50658155392264
===========================
belief count: 1000
max prob >0.5: 300 (30.0%)
max prob >0.9: 117 (11.7%)
Observations (overall count: 2 - count: 2): 1: 506 (50.6%), 0: 494 (49.4%), 
Supports (overall count: 3 - count: 3): (17, 15, 13, 8): 506 (50.6%), (16, 14, 12, 11, 10, 9): 336 (33.6%), (16, 14, 12, 11, 10): 158 (15.8%), 
===========================
network 19 5 1000 30.0 11.7 2 2 3 3
constructing pomdps
False	301.555        306.542        306.542        354.986        300.68
True	301.685        298.782        298.782        367.071        300.45
False	301.685        298.782        298.782        367.071        300.45
True	322.344        306.542        305.169        355.289        319.893
False	322.344        306.542        306.542        354.986        319.893
True	348.874        327.041        305.169        348.219        341.796
False	351.635        327.041        306.542        359.095        341.796
True	337.052        306.542        305.169        355.289        331.707
False	337.052        306.542        306.542        354.986        331.707
True	320.094        306.542        305.169        355.289        317.347
False	320.094        306.542        306.542        354.986        317.347
True	349.114        327.041        305.169        367.071        340.398
False	349.114        327.041        306.542        367.071        340.398
True	348.821        327.041        305.169        367.071        341.019
False	348.821        327.041        306.542        367.071        341.019
True	285.155        298.782        298.782        180.689        283.962
False	285.155        298.782        298.782        179.681        283.962
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	243.587        298.782        298.782        180.689        241.537
False	243.587        298.782        298.782        179.681        241.537
True	280.464        298.782        298.782        180.689        279.283
False	280.464        298.782        298.782        179.681        279.283
True	350.617        327.041        305.169        348.219        341.27
False	350.617        327.041        306.542        359.095        341.27
True	348.609        327.041        305.169        348.219        341.674
False	351.376        327.041        306.542        359.095        341.674
True	290.548        298.782        298.782        359.644        289.333
False	290.548        298.782        298.782        359.644        289.333
True	315.817        306.542        305.169        355.289        314.074
False	315.817        306.542        306.542        354.986        314.074
True	279.347        298.782        298.782        180.689        278.166
False	279.347        298.782        298.782        179.681        278.166
True	258.736        298.782        298.782        180.689        257.617
False	258.736        298.782        298.782        179.681        257.617
True	327.044        306.542        305.169        355.289        323.386
False	327.044        306.542        306.542        354.986        323.386
True	290.307        298.782        298.782        367.071        289.104
False	290.307        298.782        298.782        367.071        289.104
True	322.293        306.542        305.169        355.289        319.677
False	322.293        306.542        306.542        354.986        319.677
True	348.822        327.041        305.169        348.219        341.773
False	351.585        327.041        306.542        359.095        341.773
True	321.69        306.542        305.169        355.289        319.176
False	321.69        306.542        306.542        354.986        319.176
True	334.62        306.542        305.169        355.289        329.793
False	334.62        306.542        306.542        354.986        329.793
True	336.11        306.542        305.169        355.289        330.601
False	336.11        306.542        306.542        354.986        330.601
True	334.7        306.542        305.169        367.071        328.956
False	334.7        306.542        306.542        367.071        328.956
True	348.476        327.041        305.169        367.071        340.017
False	348.476        327.041        306.542        367.071        340.017
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	285.871        298.782        298.782        359.644        284.667
False	285.871        298.782        298.782        359.644        284.667
True	276.877        298.782        298.782        180.689        275.693
False	276.877        298.782        298.782        179.681        275.693
True	350.584        327.041        305.169        348.219        341.251
False	350.584        327.041        306.542        359.095        341.251
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	329.927        306.542        305.169        355.289        325.548
False	329.927        306.542        306.542        354.986        325.548
True	261.823        298.782        298.782        180.689        260.696
False	261.823        298.782        298.782        179.681        260.696
True	197.489        298.782        298.782        180.689        196.058
False	197.489        298.782        298.782        179.681        196.058
True	290.61        306.542        305.169        231.255        289.739
False	290.61        306.542        306.542        231.255        289.739
True	339.616        306.542        305.169        355.289        333.872
False	339.616        306.542        306.542        354.986        333.872
True	198.192        298.782        298.782        180.689        196.808
False	198.192        298.782        298.782        179.681        196.808
True	340.371        306.542        305.169        367.071        334.002
False	340.371        306.542        306.542        367.071        334.002
True	340.509        306.542        305.169        367.071        334.106
False	340.509        306.542        306.542        367.071        334.106
True	289.602        298.782        298.782        359.644        288.388
False	289.602        298.782        298.782        359.644        288.388
True	317.874        306.542        305.169        355.289        315.599
False	317.874        306.542        306.542        354.986        315.599
True	351.038        327.041        305.169        367.071        342.337
False	351.038        327.041        306.542        367.071        342.337
True	270.327        298.782        298.782        180.689        269.163
False	270.327        298.782        298.782        179.681        269.163
True	187.984        298.782        298.782        180.689        185.451
False	186.673        298.782        298.782        179.681        185.451
True	332.895        306.542        305.169        367.071        327.743
False	332.895        306.542        306.542        367.071        327.743
True	185.931        298.782        298.782        180.689        183.404
False	184.663        298.782        298.782        179.681        183.404
True	302.071        306.542        305.169        317.932        301.198
False	302.071        306.542        306.542        317.932        301.198
True	335.742        306.542        305.169        355.289        330.676
False	335.742        306.542        306.542        354.986        330.676
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	298.442        298.782        298.782        367.071        297.213
False	298.442        298.782        298.782        367.071        297.213
True	291.958        306.542        305.169        231.255        291.098
False	291.958        306.542        306.542        231.255        291.098
True	191.739        298.782        298.782        180.689        189.074
False	190.413        298.782        298.782        179.681        189.074
True	301.144        298.782        298.782        367.071        299.909
False	301.144        298.782        298.782        367.071        299.909
True	338.12        306.542        305.169        354.986        332.295
False	338.12        306.542        306.542        354.986        332.295
True	349.643        327.041        305.169        348.219        340.703
False	349.643        327.041        306.542        359.095        340.703
True	288.02        306.542        305.169        231.255        287.154
False	288.02        306.542        306.542        231.255        287.154
True	333.039        306.542        305.169        367.071        327.806
False	333.039        306.542        306.542        367.071        327.806
True	351.246        327.041        305.169        367.071        342.573
False	351.246        327.041        306.542        367.071        342.573
True	285.987        306.542        305.169        231.255        285.124
False	285.987        306.542        306.542        231.255        285.124
True	266.895        298.782        298.782        180.689        265.733
False	266.895        298.782        298.782        179.681        265.733
True	349.875        327.041        305.169        348.219        340.865
False	349.875        327.041        306.542        359.095        340.865
True	350.748        327.041        305.169        367.071        342.261
False	350.748        327.041        306.542        367.071        342.261
True	330.838        306.542        305.169        367.071        326.192
False	330.838        306.542        306.542        367.071        326.192
True	350.203        327.041        305.169        348.219        341.011
False	350.203        327.041        306.542        359.095        341.011
True	205.303        298.782        298.782        180.689        203.768
False	205.303        298.782        298.782        179.681        203.768
True	188.978        298.782        298.782        180.689        186.377
False	187.679        298.782        298.782        179.681        186.377
True	290.314        298.782        298.782        367.071        289.11
False	290.314        298.782        298.782        367.071        289.11
True	244.211        298.782        298.782        180.689        242.158
False	244.211        298.782        298.782        179.681        242.158
True	301.151        298.782        298.782        367.071        299.926
False	301.151        298.782        298.782        367.071        299.926
True	289.49        306.542        305.169        231.255        288.622
False	289.49        306.542        306.542        231.255        288.622
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	351.193        327.041        305.169        348.219        341.575
False	351.193        327.041        306.542        359.095        341.575
True	347.482        327.041        305.169        367.071        340.161
False	347.482        327.041        306.542        367.071        340.161
True	350.666        327.041        305.169        367.071        342.205
False	350.666        327.041        306.542        367.071        342.205
True	336.355        306.542        305.169        355.289        330.926
False	336.355        306.542        306.542        354.986        330.926
True	348.019        327.041        305.169        367.071        340.506
False	348.019        327.041        306.542        367.071        340.506
True	338.392        306.542        305.169        355.289        332.383
False	338.392        306.542        306.542        354.986        332.383
True	290.722        298.782        298.782        180.689        289.533
False	290.722        298.782        298.782        179.681        289.533
True	198.158        298.782        298.782        180.689        196.719
False	198.158        298.782        298.782        179.681        196.719
True	281.235        306.542        305.169        231.255        280.379
False	281.235        306.542        306.542        231.255        280.379
True	299.62        306.542        305.169        231.255        298.748
False	299.62        306.542        306.542        231.255        298.748
True	307.708        306.542        305.169        355.289        306.825
False	307.708        306.542        306.542        354.986        306.825
True	198.859        298.782        298.782        180.689        197.466
False	198.859        298.782        298.782        179.681        197.466
True	192.097        298.782        298.782        180.689        189.42
False	190.769        298.782        298.782        179.681        189.42
True	349.422        327.041        305.169        367.071        341.385
False	349.422        327.041        306.542        367.071        341.385
True	271.337        306.542        305.169        231.255        271.349
False	272.193        306.542        306.542        231.255        271.349
True	303.044        306.542        305.169        355.289        302.169
False	303.044        306.542        306.542        354.986        302.169
True	334.2        306.542        305.169        355.289        329.458
False	334.2        306.542        306.542        354.986        329.458
True	289.772        298.782        298.782        359.644        288.558
False	289.772        298.782        298.782        359.644        288.558
True	283.794        298.782        298.782        180.689        282.593
False	283.794        298.782        298.782        179.681        282.593
True	289.04        306.542        305.169        231.255        288.172
False	289.04        306.542        306.542        231.255        288.172
True	289.382        306.542        305.169        231.255        288.515
False	289.382        306.542        306.542        231.255        288.515
Storm value: 194.50658155392264
Storm POMDP analysis completed
