2024-02-04 12:27:51,665 - cli.py - This is Paynt version 0.1.0.
2024-02-04 12:27:51,665 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.templ ...
2024-02-04 12:27:51,665 - sketch.py - assuming sketch in PRISM format...
2024-02-04 12:27:51,667 - prism_parser.py - PRISM model type: DTMC
2024-02-04 12:27:51,667 - prism_parser.py - processing hole definitions...
2024-02-04 12:27:51,667 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.props ...
2024-02-04 12:27:51,668 - prism_parser.py - found the following specification: constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:51,668 - jani.py - constructing JANI program...
2024-02-04 12:27:51,681 - jani.py - constructing the quotient...
2024-02-04 12:27:51,903 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 12:27:52,093 - sketch.py - sketch parsing OK
2024-02-04 12:27:52,094 - sketch.py - constructed explicit quotient having 1752 states and 144030 actions
2024-02-04 12:27:52,094 - sketch.py - found the following specification constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:52,144 - synthesizer.py - synthesis initiated, design space: 16200
2024-02-04 12:27:52,181 - smt.py - using Python Z3 for SMT solving.
> progress 117.228%, elapsed 410 s, estimated 349 s, iters = {DTMC: 8636}, opt = 86936.972
> progress 118.043%, elapsed 413 s, estimated 350 s, iters = {DTMC: 8703}, opt = 86936.972
> progress 118.716%, elapsed 416 s, estimated 350 s, iters = {DTMC: 8758}, opt = 86936.972
> progress 119.438%, elapsed 419 s, estimated 351 s, iters = {DTMC: 8811}, opt = 86936.972
> progress 120.117%, elapsed 422 s, estimated 351 s, iters = {DTMC: 8866}, opt = 86936.972
> progress 121.08%, elapsed 425 s, estimated 351 s, iters = {DTMC: 8942}, opt = 86936.972
> progress 121.851%, elapsed 428 s, estimated 351 s, iters = {DTMC: 9005}, opt = 86936.972
> progress 122.58%, elapsed 431 s, estimated 351 s, iters = {DTMC: 9060}, opt = 86936.972
> progress 123.549%, elapsed 434 s, estimated 351 s, iters = {DTMC: 9144}, opt = 86936.972
> progress 124.055%, elapsed 437 s, estimated 352 s, iters = {DTMC: 9185}, opt = 86936.972
> progress 124.586%, elapsed 440 s, estimated 353 s, iters = {DTMC: 9228}, opt = 86936.972
> progress 125.413%, elapsed 443 s, estimated 353 s, iters = {DTMC: 9295}, opt = 86936.972
> progress 126.018%, elapsed 446 s, estimated 354 s, iters = {DTMC: 9344}, opt = 86936.972
> progress 126.771%, elapsed 449 s, estimated 354 s, iters = {DTMC: 9405}, opt = 86936.972
> progress 127.641%, elapsed 452 s, estimated 354 s, iters = {DTMC: 9475}, opt = 86936.972
> progress 128.049%, elapsed 455 s, estimated 355 s, iters = {DTMC: 9508}, opt = 86936.972
> progress 128.481%, elapsed 458 s, estimated 357 s, iters = {DTMC: 9543}, opt = 86936.972
> progress 128.888%, elapsed 461 s, estimated 358 s, iters = {DTMC: 9576}, opt = 86936.972
> progress 129.395%, elapsed 464 s, estimated 359 s, iters = {DTMC: 9611}, opt = 86936.972
> progress 130.82%, elapsed 467 s, estimated 357 s, iters = {DTMC: 9719}, opt = 86936.972
