2024-01-09 23:48:22,002 - cli.py - This is Paynt version 0.1.0.
2024-01-09 23:48:22,002 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-09 23:48:22,002 - sketch.py - assuming sketch in PRISM format...
2024-01-09 23:48:22,004 - prism_parser.py - PRISM model type: MDP
2024-01-09 23:48:22,004 - prism_parser.py - processing hole definitions...
2024-01-09 23:48:22,005 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-09 23:48:22,005 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,005 - jani.py - constructing JANI program...
2024-01-09 23:48:22,009 - jani.py - constructing the quotient...
2024-01-09 23:48:22,087 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 23:48:22,131 - sketch.py - sketch parsing OK
2024-01-09 23:48:22,131 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-09 23:48:22,132 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,138 - mdp_family.py - associating choices with action labels...
2024-01-09 23:48:22,189 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 50.103%, elapsed 354 s, estimated 706 s, iters = {game: 81544, MDP: 81225}
> Progress 50.154%, elapsed 357 s, estimated 712 s, iters = {game: 82195, MDP: 82187}
> Progress 50.223%, elapsed 360 s, estimated 717 s, iters = {game: 82855, MDP: 83169}
> Progress 50.257%, elapsed 363 s, estimated 722 s, iters = {game: 83458, MDP: 84098}
> Progress 50.282%, elapsed 366 s, estimated 728 s, iters = {game: 84156, MDP: 85201}
> Progress 50.313%, elapsed 369 s, estimated 733 s, iters = {game: 84855, MDP: 86213}
> Progress 50.334%, elapsed 372 s, estimated 739 s, iters = {game: 85504, MDP: 87215}
> Progress 50.35%, elapsed 375 s, estimated 745 s, iters = {game: 85978, MDP: 87957}
> Progress 50.38%, elapsed 378 s, estimated 750 s, iters = {game: 86849, MDP: 89313}
> Progress 50.421%, elapsed 381 s, estimated 756 s, iters = {game: 87545, MDP: 90377}
> Progress 50.452%, elapsed 384 s, estimated 761 s, iters = {game: 88078, MDP: 91192}
> Progress 50.488%, elapsed 387 s, estimated 766 s, iters = {game: 88830, MDP: 92286}
> Progress 50.514%, elapsed 390 s, estimated 772 s, iters = {game: 89482, MDP: 93273}
> Progress 50.544%, elapsed 393 s, estimated 777 s, iters = {game: 90000, MDP: 94031}
> Progress 50.838%, elapsed 396 s, estimated 779 s, iters = {game: 90828, MDP: 94976}
> Progress 51.136%, elapsed 399 s, estimated 780 s, iters = {game: 91559, MDP: 95560}
> Progress 51.452%, elapsed 402 s, estimated 781 s, iters = {game: 92232, MDP: 96265}
> Progress 51.748%, elapsed 405 s, estimated 783 s, iters = {game: 92943, MDP: 96923}
> Progress 52.234%, elapsed 408 s, estimated 781 s, iters = {game: 93794, MDP: 97961}
> Progress 52.44%, elapsed 411 s, estimated 784 s, iters = {game: 94580, MDP: 98552}
> Progress 52.798%, elapsed 414 s, estimated 784 s, iters = {game: 95283, MDP: 99304}
> Progress 53.117%, elapsed 417 s, estimated 785 s, iters = {game: 96014, MDP: 99903}
> Progress 53.405%, elapsed 420 s, estimated 786 s, iters = {game: 96694, MDP: 100466}
> Progress 53.638%, elapsed 423 s, estimated 789 s, iters = {game: 97359, MDP: 101147}
> Progress 53.95%, elapsed 426 s, estimated 790 s, iters = {game: 97979, MDP: 101646}
> Progress 54.259%, elapsed 429 s, estimated 791 s, iters = {game: 98754, MDP: 102411}
> Progress 54.665%, elapsed 432 s, estimated 790 s, iters = {game: 99444, MDP: 102959}
> Progress 55.027%, elapsed 435 s, estimated 790 s, iters = {game: 100136, MDP: 103529}
> Progress 55.508%, elapsed 438 s, estimated 789 s, iters = {game: 100893, MDP: 104341}
> Progress 55.644%, elapsed 441 s, estimated 792 s, iters = {game: 101823, MDP: 105466}
> Progress 56.144%, elapsed 444 s, estimated 791 s, iters = {game: 102571, MDP: 106035}
> Progress 56.451%, elapsed 447 s, estimated 792 s, iters = {game: 103293, MDP: 106628}
> Progress 56.74%, elapsed 450 s, estimated 793 s, iters = {game: 103960, MDP: 107180}
> Progress 57.008%, elapsed 453 s, estimated 795 s, iters = {game: 104674, MDP: 107898}
> Progress 57.337%, elapsed 456 s, estimated 795 s, iters = {game: 105319, MDP: 108416}
> Progress 57.632%, elapsed 459 s, estimated 796 s, iters = {game: 106080, MDP: 109170}
> Progress 58.05%, elapsed 462 s, estimated 796 s, iters = {game: 106764, MDP: 109716}
> Progress 58.363%, elapsed 465 s, estimated 797 s, iters = {game: 107460, MDP: 110293}
> Progress 58.842%, elapsed 468 s, estimated 795 s, iters = {game: 108222, MDP: 111184}
> Progress 58.98%, elapsed 471 s, estimated 798 s, iters = {game: 109124, MDP: 112203}
> Progress 59.483%, elapsed 474 s, estimated 797 s, iters = {game: 109848, MDP: 112758}
> Progress 59.786%, elapsed 477 s, estimated 798 s, iters = {game: 110570, MDP: 113352}
> Progress 60.077%, elapsed 480 s, estimated 799 s, iters = {game: 111247, MDP: 113914}
> Progress 60.37%, elapsed 483 s, estimated 800 s, iters = {game: 111973, MDP: 114608}
> Progress 60.684%, elapsed 486 s, estimated 801 s, iters = {game: 112613, MDP: 115125}
